symbol,iters,converged,median_abs_llr
0,7,True,2.8241441503077516
1,9,True,2.7534949938157744
2,6,True,2.7304201649486455
3,6,True,2.772094119908216
4,10,True,2.8148070999262322
5,14,True,2.8473400947467034
6,9,True,3.010186808705139
7,7,True,3.162930311444848
8,9,True,3.1780924649878894
9,10,True,3.117658959452307
10,6,True,3.0070700756518804
11,6,True,2.944996911527209
12,10,True,2.8427457954733315
13,7,True,2.7469091802892946
14,8,True,2.758962396279511
15,13,True,2.726898617763756
16,8,True,2.7797978962499865
17,8,True,2.8666025780225692
18,10,True,2.9054570200930456
19,9,True,3.065389842769889
20,10,True,3.197716931733927
21,11,True,3.365372339270782
22,10,True,3.1822618387289463
23,11,True,3.036845402959491
24,14,True,2.8931967353875105
25,10,True,2.8336529755800255
26,15,True,2.8025061167770833
27,13,True,2.735537277278068
28,15,True,2.734669958273071
29,16,True,2.718532923448546
30,16,True,2.8112209795199323
31,10,True,2.92411897146112
32,14,True,3.0026104507851192
33,10,True,3.102590598968861
34,20,True,3.255197713211727
35,18,True,3.211422652630022
36,21,True,3.0376027174909517
37,30,True,2.940288652628622
38,15,True,2.867157339355759
39,11,True,2.8275840803907597
40,21,True,2.743796326128237
41,21,True,2.721193380623061
42,20,True,2.711904261994743
43,22,True,2.8114584085719656
44,24,True,2.931287977881969
45,17,True,2.988608704406233
46,22,True,3.116421485466012
47,18,True,3.24297941184367
48,17,True,3.168680094635987
49,13,True,3.009466178027641
50,13,True,2.9234176746892064
51,15,True,2.8361565246065794
52,18,True,2.724314664494575
53,15,True,2.7587922262683287
54,13,True,2.7608511363975943
55,16,True,2.741406261201395
56,12,True,2.817844217092382
57,14,True,2.926438457112874
58,15,True,2.990701000972966
59,12,True,3.127631720463211
60,14,True,3.2772089665597006
61,13,True,3.332548429590465
62,18,True,3.132798631983168
63,12,True,3.0336169887749596
64,13,True,2.95454560784358
65,13,True,2.9075127388072213
66,11,True,2.810373494202673
67,12,True,2.8823999673336482
68,9,True,2.836516302092082
69,11,True,2.899096643926671
70,10,True,2.9480906523828976
71,10,True,3.0811742979750703
72,12,True,3.2020807376579263
73,10,True,3.316289824519411
74,11,True,3.400988365871463
75,14,True,3.2104843414957047
76,14,True,3.1712222348719172
77,12,True,3.011092707244166
78,11,True,2.9473074505802126
79,12,True,2.852693353764745
80,13,True,2.880357998460952
81,11,True,2.8856686141860393
82,11,True,2.9282630438397526
83,9,True,2.964481561410225
84,10,True,3.073338823217788
85,10,True,3.190154331033092
86,11,True,3.382813849946771
87,11,True,3.3475352285246185
88,11,True,3.2681268820738785
89,14,True,3.1215654792729763
90,14,True,3.0534990489050613
91,13,True,2.9688085042328654
92,11,True,2.892475637865248
93,14,True,2.80791294137928
94,10,True,2.823129760738606
95,15,True,2.8539763403305685
96,13,True,2.9570813448808293
97,15,True,3.0080619167096367
98,17,True,3.1565644167145783
99,12,True,3.2918417518760066
100,21,True,3.4120131807145535
101,15,True,3.286574297949619
102,20,True,3.1037020569355995
103,13,True,3.0627552405770855
104,16,True,3.0319620670563268
105,22,True,2.904284091459255
106,21,True,2.8376623973348556
107,20,True,2.8237553632958896
108,33,True,2.9204537130329618
109,18,True,2.966643706856834
110,18,True,3.0157526864441024
111,23,True,3.1521870457524255
112,18,True,3.175451350419678
113,15,True,3.434843805367125
114,14,True,3.313010617162414
115,14,True,3.2302125861782276
116,17,True,3.111876564417028
117,20,True,3.038411945918246
118,23,True,2.8907520411168086
119,15,True,2.8512830481322746
120,18,True,2.8982692919998962
121,22,True,2.8810949470223965
122,18,True,2.886669728360847
123,18,True,2.9839033381812117
124,16,True,3.064094280695889
125,18,True,3.176076135934739
126,20,True,3.3265359306975055
127,16,True,3.3115090314738866
128,21,True,3.192352639970591
129,17,True,3.0761697312935876
130,16,True,2.962831716164171
131,19,True,2.883494308501901
132,15,True,2.87907435920566
133,18,True,2.8263823466383036
134,24,True,2.8204242769304066
135,21,True,2.892320393904747
136,18,True,2.914462776868338
137,17,True,3.0073428102382302
138,14,True,3.1221969097266067
139,19,True,3.2710057148337492
140,14,True,3.338000809144504
141,18,True,3.19239768548048
142,21,True,3.106012663250767
143,17,True,2.9635651624852146
144,13,True,2.896532828038631
145,15,True,2.9241929628761065
146,16,True,2.818139196274454
147,16,True,2.8208800132783436
148,15,True,2.873200607577839
149,25,True,2.9255141590962737
150,29,True,2.9932363396961623
151,33,True,3.1020417350791574
152,77,True,3.1788441682201696
153,23,True,3.1729256131889567
154,23,True,3.214921326850852
155,26,True,3.013142001768442
156,54,True,2.9920167204307093
157,26,True,2.9564587404857074
158,19,True,2.9300419301968823
159,14,True,2.8810262198102583
160,18,True,2.914337483214293
161,18,True,2.9552480694987953
162,14,True,2.992232551339482
163,13,True,3.139159433664224
164,14,True,3.2023580579660607
165,11,True,3.3530949484721706
166,13,True,3.4065321959495694
167,17,True,3.329286655964615
168,15,True,3.221410284564424
169,13,True,3.083637029644314
170,12,True,2.987169614549778
171,14,True,2.932449790309117
172,12,True,2.8895033688115537
173,15,True,2.915065748589532
174,14,True,3.0033253585628925
175,200,False,3.025041838617933
176,15,True,3.1710194822265585
177,14,True,3.269786154551127
178,15,True,3.3562406303368304
179,14,True,3.480424306978815
180,15,True,3.3891269489086318
181,12,True,3.297458804111697
182,14,True,3.1630996874380832
183,11,True,3.05783199500016
184,13,True,2.9997609929984597
185,11,True,2.9251552917341073
186,14,True,2.9601973223626734
187,22,True,2.944412926639902
188,20,True,3.0235420939963564
189,19,True,3.1254742965622504
190,13,True,3.2476052615259308
191,13,True,3.3657616802512775
192,13,True,3.533384054239032
193,12,True,3.401788070787196
194,13,True,3.263571861716838
195,15,True,3.1463497188707406
196,11,True,3.050023522707203
197,12,True,2.988333917279382
198,13,True,2.9637892849325764
199,12,True,2.9597890639859132
200,14,True,2.96839634888267
201,10,True,3.000809073756467
202,13,True,3.0831933238050744
203,16,True,3.2408630059239076
204,15,True,3.289024014382009
205,13,True,3.454245521744225
206,15,True,3.44496891874586
207,10,True,3.3318340725299462
208,11,True,3.184749451785974
209,14,True,3.093416513470265
210,9,True,3.044404623691537
211,12,True,2.987339233948815
212,9,True,2.967971588719698
213,9,True,2.90906360184581
214,13,True,3.044595738845927
215,16,True,3.0250439339120927
216,13,True,3.160424668629065
217,12,True,3.276865338055134
218,14,True,3.463724851929122
219,16,True,3.3828085383121804
220,15,True,3.237468125977047
221,13,True,3.167299831657524
222,21,True,3.0527205932930146
223,22,True,3.008557733628768
224,22,True,2.9750112176696795
225,15,True,2.8476008971149196
226,9,True,2.8823843861171223
227,14,True,3.0003532909847523
228,10,True,3.0092925362915786
229,15,True,3.0672984741643963
230,11,True,3.27118732391651
231,20,True,3.3742710606876054
232,8,True,3.466555274044606
233,10,True,3.3098933645137816
234,13,True,3.1717288090211606
