bin,freq_hz,abs_h,training_noise,mean_abs_llr
400,2343.75,9.820543645457594,2.429345153102953,2.2669071729423163
401,2349.609375,12.806128262645348,4.962653886503688,4.426674128272922
402,2355.46875,8.70833141615615,3.033652256384926,3.46301520101229
403,2361.328125,9.289959594254062,3.6932154722864556,4.43907908543271
404,2367.1875,7.8347925088063,3.0932765927999792,3.275765721196201
405,2373.046875,3.1045216270686398,1.6856049440699437,1.7105797474399032
406,2378.90625,5.7168830918286915,2.6288298927215346,4.059957552093734
407,2384.765625,11.955715152039755,5.264738390271214,5.379324287146488
408,2390.625,6.553172823797524,2.5377275611967915,2.73546249256629
409,2396.484375,13.866768776243006,4.595470543593747,4.035783758672987
410,2402.34375,8.467540682732265,5.752585459534335,3.5421640863880346
411,2408.203125,1.495755044821073,0.9719729028490245,1.9350856031065353
412,2414.0625,4.7176154884295,3.60716265644856,3.7366322872522204
413,2419.921875,8.097158821181123,5.108002635707716,5.920496596221863
414,2425.78125,11.843875938282066,5.037905191693269,4.286203873421789
415,2431.640625,7.601497185782514,4.791098221712659,4.782878277419211
416,2437.5,2.252119423819496,0.8869168405113423,1.1872248725194987
417,2443.359375,5.297085896985208,3.2300637592733086,2.7522728881103955
418,2449.21875,8.792194525164895,4.8623782079541655,4.49453714754525
419,2455.078125,6.499304492573045,2.9972019737139237,3.0675197779102756
420,2460.9375,10.289779073103377,4.016130380874291,3.078510023174075
421,2466.796875,12.629636123203138,6.882373863357419,5.958785514967606
422,2472.65625,11.877855569341426,7.041026716830206,5.550467751837311
423,2478.515625,15.826438707305604,11.449529881761052,9.412948996966223
424,2484.375,12.891666260722182,7.5891593893605265,6.022484112017881
425,2490.234375,4.976850973515627,2.892135450681485,3.7937942840633174
426,2496.09375,3.5094130886231354,2.133125724772245,1.8069579674156269
427,2501.953125,4.020329264472067,3.2823970189762384,2.2788900529781246
428,2507.8125,8.125760839043892,5.193598507519919,3.4781945075516103
429,2513.671875,6.325694780609559,3.4443204608781754,1.9541769236102517
430,2519.53125,6.522386310248702,4.589182404546536,3.513192486961612
431,2525.390625,1.0283406043226817,0.75,2.34072721044092
432,2531.25,8.176852260153847,6.115885602796819,4.548583758433348
433,2537.109375,9.043676112551271,5.291237509195461,3.710058779195671
434,2542.96875,1.152975420129573,0.75,2.4869895684153844
435,2548.828125,1.005648899114757,0.8304936423998508,2.1832517198854737
436,2554.6875,1.850110966620985,1.1696317267628866,1.2235924495699564
437,2560.546875,5.935910539266735,3.542500829853254,3.053431462942333
