bin,freq_hz,role,gain_run1,gain_run2,gain_run3,min_snr_db,min_phase_coherence,max_amplitude_cv,gain_std_db
1,46.875,zero,0.043049299419125164,0.019144236400529476,0.018783157328875467,1.1947946247453465,0.5620298669925203,0.6630144361751124,3.357670900368034
2,93.75,zero,0.03178369113056222,0.018884609435723586,0.018030177333994944,6.48323929211457,0.7222592700589578,0.48009123609411786,2.232491918206048
3,140.625,zero,0.03869588417094515,0.03129253519090235,0.030224309311141145,14.033460883337588,0.7192981402185566,0.33119829245369214,0.9486340884945126
4,187.5,zero,0.05445789862874326,0.034426691124914956,0.030744986601807973,16.92975591356069,0.7927355525026487,0.22314818063500771,2.1471016765320803
5,234.375,zero,0.23301514841287757,0.24904644531397585,0.24491061625443605,32.71072753652378,0.9285609692571862,0.09502086461759779,0.2454434912653137
6,281.25,zero,0.20690323068419064,0.17830688468733175,0.1829740166674432,33.940933181633206,0.9296786352242141,0.14541559759502531,0.5636454407881115
7,328.125,zero,0.09504746746216863,0.03334399552035858,0.03776527741102005,20.81443054815423,0.8536748507311271,0.5964191020911603,4.058231578686609
8,375.0,zero,0.1754894199973555,0.10252195050929128,0.10608134445111558,30.782597781675104,0.7986534840346865,0.22108025093290296,2.134399091011078
9,421.875,zero,0.12101408195487898,0.1967027104105828,0.17543179489379712,31.79331528699845,0.9887366833419615,0.20109303217543426,1.801102008599097
10,468.75,zero,0.241184270683228,0.2607191329535614,0.2648703064382888,35.00563756813629,0.9943030193814008,0.11472606717016721,0.35567363906472693
11,515.625,zero,0.22914672580246626,0.13393163275444392,0.1464660530769602,33.03701986842385,0.9806062095551343,0.12868162624835505,2.040570449084051
12,562.5,zero,0.5504650705392711,0.598732759975427,0.595100059332774,36.27656619836441,0.9968910499434132,0.06783014616433557,0.33239790267043595
13,609.375,zero,0.12828069108682827,0.2380192949490888,0.22812030179419962,24.961757472397256,0.9304208547165111,0.45590641875418425,2.448650710695231
14,656.25,zero,0.584936226246607,0.4349862504852663,0.28382421022877347,35.17608422280372,0.9610621455728567,0.53097823748717,2.578219778721622
15,703.125,zero,1.0529373049393391,0.752989599300385,0.8042095661995692,36.13027117112259,0.9921867142607427,0.08688641684257188,1.2599280560357193
16,750.0,zero,0.5980241056539399,0.5724812733438314,0.5458901537779134,41.64339323325614,0.9693440841506162,0.1099358760638365,0.3235413981075923
17,796.875,zero,0.5695580651504614,0.44634891502211255,0.3867461428648845,36.6378231593579,0.9792359921645615,0.17549499091427442,1.3879418782510813
18,843.75,zero,0.6845838431513287,0.7382770373551018,0.606427754183816,42.683488196257485,0.9913960572661475,0.0507132209643782,0.7038678173517268
19,890.625,zero,0.608945204439981,0.651339539581924,0.6123637394765713,43.007377120648,0.9984344190666166,0.05042458457336531,0.2648597366065101
20,937.5,zero,0.4450129003112185,0.35882196168151526,0.351861272865762,43.20690561748765,0.997176981382818,0.03575572640491886,0.9241851547538518
21,984.375,zero,0.4904205298314587,0.42764096009272917,0.4397882777702294,42.167140458422125,0.997969397698105,0.03181188839394691,0.5132298060669276
22,1031.25,zero,0.13166863459059253,0.030640436835795478,0.12790654075015312,15.57827169794943,0.9354897031215762,0.24366722398935714,5.911293842909256
23,1078.125,zero,0.6380897349887665,0.6202443073644361,0.6413948564379858,39.46536957198036,0.9982601524402177,0.05556693968978478,0.12803873124962373
24,1125.0,zero,0.7219332215626012,0.6779923415553518,0.7266006171486509,37.688146418407584,0.9872732777810799,0.07148485634169784,0.27128266835874304
25,1171.875,zero,0.8424503497441144,0.7225929678158527,0.5366155995155718,37.925149957812074,0.9964334275465285,0.039211214555439834,1.62634123534233
26,1218.75,zero,0.9180649107920154,0.7061002890334418,0.6897258095703206,43.91234582025994,0.9969949608155403,0.0767120275833927,1.1259820977567354
