run,input,samples,seconds,probe_start,probe_sync_score,tail_after_tx,payload_start_structural,best_method,best_delta,best_payload_start,mean_abs_h_best,median_abs_h_best,bit_error_rate,bit_errors,byte_errors,first16_hex,header_ok
1,data/step2_file/receive_exp2_combo_8_200_1.wav,600000,12.5,32749,0.1874942426787242,129491,364525,syncH,-1,364524,0.49889128248059317,0.36247913093785494,0.44797327898550726,15826,4373,41e564b8db4542c61bb9808caae544a6,False
2,data/step2_file/receive_exp2_combo_8_200_2.wav,600000,12.5,64573,0.19150135206209373,97667,396349,syncH,-1,396348,0.49309799893111883,0.31669376647097264,0.4437839673913043,15678,4356,41e564badb454ae61bb98185bae584e3,False
3,data/step2_file/receive_exp2_combo_8_200_3.wav,600000,12.5,37932,0.1876044587312768,124308,369708,syncH,-1,369707,0.498857904577529,0.3606655835896998,0.4400758605072464,15547,4367,41e564badb454ae61bb9818d81ed04e2,False
4,data/step2_file/receive_exp2_combo_8_200_4.wav,600000,12.5,61501,0.19013056570812792,100739,393277,syncH,-1,393276,0.5043486954051689,0.3573855541154146,0.44740715579710144,15806,4374,41e564badb554ae61bb9808580e5c4c2,False
