run,probe_start,probe_sync_score,payload_start_structural,best_payload_delta,best_payload_start,mean_abs_h_sync,median_abs_h_sync,bit_error_rate,bit_errors,byte_errors,first16_hex,header_ok
5,37489,0.20582929837576483,369265,-2,369263,2.1092553641633702,1.1221252559721435,0.155174365942029,5482,2611,657870322e747874ea303510df88220d,False
6,58848,0.20975488071228948,390624,-2,390622,2.1117471183004257,1.0645246815322709,0.1520323822463768,5371,2596,657870322e747834ea303510dea8022d,False
7,44176,0.2105824475029799,375952,-2,375950,2.10846476698478,1.1229569855356598,0.15358922101449277,5426,2615,657870322e747834ea343410dea8222f,False
8,47392,0.21149591265551337,379168,-2,379166,2.0859891578716754,1.059471587177966,0.15186254528985507,5365,2621,657870322e747834ea343410dea80a28,False
