bin,freq_hz,abs_h,training_noise,silence_noise,mean_abs_llr,llr_count
64,6000.0,0.4328646043109665,0.13950127090083525,0.0005983008597506412,3.559100095561264,2856
65,6093.75,0.7731864153344286,0.2527669597969599,0.0005147368609188678,3.720068109486576,2857
66,6187.5,1.6115524197114728,0.44353736169728947,0.0004071661575082502,9.621904298034545,2857
67,6281.25,2.0156280287178756,0.3042148941599396,0.0005460533877968688,18.946466269911983,2857
68,6375.0,2.4930536093568176,0.48110045332347534,0.0005475991892497018,17.635402103798985,2856
69,6468.75,2.287110432324827,0.5463517325033271,0.0005736857452560842,20.014709107778017,2857
70,6562.5,1.9702982554191135,0.3622721782875555,0.00046541390441635997,19.92914580147572,2857
71,6656.25,1.4460325065209028,0.4490984028024532,0.0005098826702194765,16.369219654434986,2857
72,6750.0,1.366388575365989,0.3148732600376272,0.0003512765624240565,14.074698509891025,2856
73,6843.75,1.3863782156798055,0.24021030282729933,0.0004919753059836716,13.301805567221475,2857
74,6937.5,0.9452148903716526,0.1732799398038063,0.000474255040028264,11.089009557271309,2857
75,7031.25,0.7378881935877556,0.1791734268993111,0.00044897436675652276,4.112221324820281,2857
76,7125.0,0.45630087107895295,0.17438544564286212,0.0006610237040821849,4.188886255236586,2856
77,7218.75,0.6283182936878858,0.2269910252576063,0.0005160872772734087,4.253810183289591,2857
78,7312.5,1.3818319726156232,0.288346146574612,0.0005592155185004724,12.044120125451485,2857
79,7406.25,1.490183812169019,0.37613329809528245,0.0004390830870140607,11.642248756883406,2857
80,7500.0,1.7580860173876593,0.23664920943237594,0.00041796611711728915,17.449913898638375,2856
81,7593.75,1.6482945320607452,0.20193732938665315,0.00037807539984948253,20.588426723808524,2857
82,7687.5,1.9908520895142126,0.2562625519475366,0.0004695967839395114,22.179608736519974,2857
83,7781.25,2.493274403504725,0.23971865672331108,0.0003912859836956129,23.377025742843387,2857
84,7875.0,2.5279879072418483,0.40390716284332084,0.00039242956094926584,23.32329508419121,2856
85,7968.75,2.5722343093036586,0.32042115885974826,0.0002644189519600541,23.26454256740093,2857
86,8062.5,2.6225862682070074,0.2060151936788474,0.0004165036869330413,22.97248856154106,2857
87,8156.25,2.3508822121505624,0.1780776855972905,0.0005975761733630156,22.45723853650312,2857
88,8250.0,2.178647520202403,0.5821764755368064,0.0007305946175294145,17.174107970778657,2856
89,8343.75,2.4551156147448636,0.4181429740091527,0.00041853547686772325,20.149382827947342,2857
90,8437.5,2.5611578165170648,0.37535153738926014,0.00046343644189037326,21.15945504374216,2857
91,8531.25,2.4080993085190463,0.5691083540348415,0.00046337389434189703,17.30337504090582,2857
92,8625.0,2.468894796451456,0.4264265613376671,0.0005234819578700716,20.41904826467346,2856
93,8718.75,2.3845691884348375,0.5483697384946828,0.0005745528477863101,18.95931476023287,2857
94,8812.5,2.107014633050823,0.425631810563249,0.0003761812040472306,20.73513903256053,2857
95,8906.25,1.6906529559799717,0.39776038400300023,0.000254637205018203,20.48233165723511,2857
96,9000.0,1.709421966025363,0.625415580243386,0.0003631464368822775,15.298755714169367,2856
97,9093.75,1.826182602251216,0.5704208385428982,0.0003728894652856005,14.917584927544405,2857
98,9187.5,2.455309807185993,1.4692861304510973,0.0003803687841426383,6.141069458220479,2857
99,9281.25,1.9979724768683675,1.4253244619969723,0.0004704891529375715,3.4732409743389354,2857
100,9375.0,1.5362228477027615,0.989878158201205,0.0005828507402180509,2.7429629996557976,2856
