input,probe_sync_score,file_sync_score,payload_start,payload_delta,pilot_score,pilot_residual,mean_abs_h,header_ok,file_match,byte_errors,bit_errors,bit_error_rate,first16_hex,error
data/step2_file/receive_exp2_combo_bpsk_pilot4_8_150_9.wav,0.06358194282516723,0.0163052504258392,511136,-33,451.9900283503722,451.9900283503722,0.06980829530669397,False,False,4404,17708,0.5012454710144928,acd183c8dc618730f5d2d1dc47bf7c40,UnicodeDecodeError: 'utf-8' codec can't decode byte 0xac in position 0: invalid start byte
data/step2_file/receive_exp2_combo_bpsk_pilot4_8_150_10.wav,0.06483929723114012,0.01565897163063234,499796,-26,255.14155016166754,255.14155016166754,0.08586498512628703,False,False,4395,17636,0.4992074275362319,fde8cb128e65736b8856b4f08a10caac,UnicodeDecodeError: 'utf-8' codec can't decode byte 0xfd in position 0: invalid start byte
data/step2_file/receive_exp2_combo_bpsk_pilot4_8_150_11.wav,0.06247671671123935,0.016493695784725107,503770,16,403.4846011371962,403.4846011371962,0.07808185985462407,False,False,4394,17647,0.4995187952898551,ac0583b0546f859cf5d65f5ecdbb5c50,UnicodeDecodeError: 'utf-8' codec can't decode byte 0xac in position 0: invalid start byte
