bin,freq_hz,abs_y,abs_y_theory,real_h,imag_h,abs_h,phase_h
1,46.875,7.5992537592834815,7.599768066406252,0.9999323243456328,6.277151509430301e-19,0.9999323243456328,6.277576348517527e-19
2,93.75,7.599638165009771,7.599768066406252,0.9999829062266644,3.110043247854104e-17,0.9999829062266644,3.110096411137208e-17
3,140.625,7.5996283300883025,7.599768066406252,0.9999816121861436,4.471043825126036e-17,0.9999816121861436,4.4711260393593765e-17
4,187.5,7.599699720350365,7.599768066406252,0.9999910060745824,-6.790736632929143e-18,0.9999910060745824,-6.790797708857263e-18
5,234.375,7.599543092494918,7.599768066406252,0.9999703962535125,-2.1456445159507207e-17,0.9999703962535125,-2.145708036947483e-17
6,281.25,7.599576486417531,7.599768066406252,0.9999747903634124,2.7733596668937507e-17,0.9999747903634124,2.7734295840456658e-17
7,328.125,7.5993824056052155,7.599768066406252,0.9999492526378106,1.4408915964828648e-17,0.9999492526378106,1.4409647216414958e-17
8,375.0,7.599441700383477,7.599768066406252,0.9999570519546741,-1.2554303018860604e-17,0.9999570519546741,-1.2554842224793534e-17
9,421.875,7.599240769736802,7.599768066406252,0.9999306145947577,-3.880420933102369e-18,0.9999306145947577,-3.880690196364263e-18
10,468.75,7.5995233008277205,7.599768066406252,0.9999677906408132,1.2354575470833273e-17,0.9999677906408132,1.2354973416609792e-17
11,515.625,7.599628979551242,7.599768066406252,0.9999816976000351,1.6720049020573437e-17,0.9999816976000351,1.6720355043198992e-17
12,562.5,7.599632582302423,7.599768066406252,0.9999821718130524,-3.9945509605465566e-18,0.9999821718130524,-3.9946221774175204e-18
13,609.375,7.5996619257451385,7.599768066406252,0.9999860327606899,6.847801646651236e-19,0.9999860327606899,6.847897292871496e-19
14,656.25,7.599533763772951,7.599768066406252,0.9999691686430058,7.275789249566939e-18,0.9999691686430058,7.276013578939087e-18
15,703.125,7.599483079639359,7.599768066406252,0.9999624996050649,4.936123686961099e-18,0.9999624996050649,4.936308800490639e-18
16,750.0,7.599276159740859,7.599768066406252,0.999935269420355,1.2782563073748977e-17,0.999935269420355,1.2783390550029109e-17
17,796.875,7.599167655864378,7.599768066406252,0.9999209921805364,3.3388550068316653e-18,0.9999209921805364,3.339118823328826e-18
18,843.75,7.599579132018316,7.599768066406252,0.9999751377305658,2.159965939790163e-17,0.9999751377305658,2.160019642780505e-17
19,890.625,7.599604417699719,7.599768066406252,0.9999784655408792,1.674802982334529e-17,0.9999784655408792,1.6748390490875657e-17
20,937.5,7.599622939740743,7.599768066406252,0.9999809029807948,1.0956482634641977e-17,0.9999809029807948,1.0956691874797136e-17
21,984.375,7.599576072889706,7.599768066406252,0.9999747359058876,-1.8260804391069966e-17,0.9999747359058876,-1.826126574540637e-17
22,1031.25,7.599587306831388,7.599768066406252,0.9999762141053258,1.2782563073748977e-17,0.9999762141053258,1.2782867125680063e-17
23,1078.125,7.599396546477848,7.599768066406252,0.9999511129706101,7.304321756427986e-18,0.9999511129706101,7.304678860478121e-18
24,1125.0,7.599313067667138,7.599768066406252,0.9999401261260163,-1.2782563073748977e-17,0.9999401261260163,-1.2783328461146352e-17
25,1171.875,7.599179361842028,7.599768066406252,0.9999225335794666,6.6777100136633305e-18,0.9999225335794666,6.678227352031801e-18
