run,freq_hz,psd_db_relative_to_run_max
6,375.0,-5.638755197617179
6,498.046875,-6.828842698465749
6,750.0,-10.943524070335073
6,1001.953125,-8.624216334793552
6,1500.0,-24.029875844419692
6,1998.046875,-24.343194871976436
6,3000.0,-29.13359492124779
6,4001.953125,-22.481552763804856
6,4998.046875,-19.1000406921668
6,6000.0,-14.83074011286503
6,7001.953125,-11.405211886462382
17,375.0,-9.523672972863743
17,498.046875,-9.26582356627101
17,750.0,-14.488102164060734
17,1001.953125,-6.0455406185410965
17,1500.0,-11.416680880066295
17,1998.046875,-8.591116651843898
17,3000.0,-33.298237968461116
17,4001.953125,-19.729918726921504
17,4998.046875,-22.0970700836343
17,6000.0,-33.57199454546507
17,7001.953125,-12.364627669923244
18,375.0,-9.492055192156528
18,498.046875,-8.767782330948037
18,750.0,-15.435838524210254
18,1001.953125,-7.922064005881886
18,1500.0,-10.795468061753475
18,1998.046875,-8.862206082034625
18,3000.0,-35.95276594487288
18,4001.953125,-19.07919363476342
18,4998.046875,-19.208274243231152
18,6000.0,-28.09973181543883
18,7001.953125,-11.450014392386265
19,375.0,-9.571926824092806
19,498.046875,-8.611552125184474
19,750.0,-16.030978385092432
19,1001.953125,-7.085757562494123
19,1500.0,-10.659683953671866
19,1998.046875,-9.008097901612452
19,3000.0,-38.04600798303829
19,4001.953125,-19.544903638961067
19,4998.046875,-20.140769275978258
19,6000.0,-32.21775680832766
19,7001.953125,-10.639286962811177
