bin,freq_hz,abs_y,abs_x,real_h,imag_h,abs_h,phase_h
128,6000.0,3.5088564286013204,3.509451451559732,0.9998304436117992,3.1304757204708113e-06,0.9998304436166999,3.131006602631557e-06
129,6046.875,3.5088120308032424,3.509451451559732,0.9998177931423978,3.201495408768226e-06,0.9998177931475235,3.2020788494822426e-06
130,6093.75,3.508830208171789,3.509451451559732,0.9998229732622806,2.5940012052328207e-06,0.9998229732656456,2.5944604941044133e-06
131,6140.625,3.5088024945998724,3.509451451559732,0.9998150758174431,-2.813370573741196e-06,0.9998150758214014,-2.8138909302138447e-06
132,6187.5,3.5088905976004887,3.509451451559732,0.999840180629143,3.4819343722271122e-06,0.999840180635206,3.4824909417243578e-06
133,6234.375,3.5088316152581975,3.509451451559732,0.9998233746234004,-2.0309703542282757e-07,0.9998233746234211,-2.0313291385023335e-07
134,6281.25,3.5088454897654557,3.509451451559732,0.9998273259459538,-1.8421671219305089e-06,0.9998273259476509,-1.8424852713297452e-06
135,6328.125,3.508805168324693,3.509451451559732,0.9998158380670329,-1.959998310777657e-05,0.999815838259148,-1.960359334090857e-05
136,6375.0,3.508818606920471,3.509451451559732,0.9998196671171151,7.428396447469569e-06,0.9998196671447106,7.429736273094086e-06
137,6421.875,3.508810387537677,3.509451451559732,0.9998173256110854,7.098170131415238e-06,0.999817325636282,7.099467022095863e-06
138,6468.75,3.5088126138997415,3.509451451559732,0.9998179591931035,-1.1200715676596639e-05,0.9998179592558429,-1.1202755034694048e-05
139,6515.625,3.5088017693116007,3.509451451559732,0.9998148687350525,-8.833078177992937e-06,0.9998148687740714,-8.834713759496869e-06
140,6562.5,3.5088396408032163,3.509451451559732,0.9998256599524067,-4.627880017080769e-06,0.9998256599631172,-4.628686982556552e-06
141,6609.375,3.508809635199635,3.509451451559732,0.9998171093552083,7.21330962934091e-06,0.9998171093812289,7.214629117386969e-06
142,6656.25,3.5087933034444823,3.509451451559732,0.9998124572096938,5.522166095089758e-06,0.9998124572249438,5.523201931735308e-06
143,6703.125,3.508753341691683,3.509451451559732,0.9998010710098995,-2.5212072069561433e-06,0.9998010710130784,-2.5217088479452485e-06
144,6750.0,3.508817572395623,3.509451451559732,0.9998193740353629,1.0725635739902662e-06,0.9998193740359382,1.0727573418195424e-06
145,6796.875,3.508808245862871,3.509451451559732,0.9998167145672872,5.478777428346327e-06,0.9998167145822984,5.479781792468493e-06
146,6843.75,3.5088106021968377,3.509451451559732,0.999817385102991,-1.160832494968563e-05,0.9998173851703799,-1.1610445189416514e-05
147,6890.625,3.50882222391306,3.509451451559732,0.9998206991959461,4.935722487053234e-06,0.9998206992081289,4.936607624729552e-06
148,6937.5,3.508824148596052,3.509451451559732,0.9998212467766849,-8.704154976547171e-06,0.9998212468145729,-8.705711150256635e-06
149,6984.375,3.5088638106041903,3.509451451559732,0.9998325480097773,-1.2909508432779082e-06,0.9998325480106107,-1.2911670517697196e-06
150,7031.25,3.508822014973819,3.509451451559732,0.9998206386997877,-8.860180584068093e-06,0.9998206387390461,-8.861770042433154e-06
151,7078.125,3.5087877072996365,3.509451451559732,0.9998108622897465,-5.139257501399162e-06,0.9998108623029549,-5.140229712631923e-06
152,7125.0,3.5088368331178517,3.509451451559732,0.9998248624533144,-7.140860644598309e-06,0.9998248624788147,-7.142111496362519e-06
153,7171.875,3.5088261220180885,3.509451451559732,0.9998218081588045,-8.129629534839278e-06,0.9998218081918558,-8.131078426495838e-06
154,7218.75,3.5087961367580935,3.509451451559732,0.9998132649611039,2.841544754534007e-06,0.9998132649651419,2.8420754695997177e-06
155,7265.625,3.50881198692321,3.509451451559732,0.9998177812235728,-4.857702941242077e-06,0.9998177812353736,-4.858588267213068e-06
156,7312.5,3.5088468471397625,3.509451451559732,0.9998277135793292,-8.641657280906015e-07,0.9998277135797027,-8.643146377656604e-07
157,7359.375,3.5088027723324444,3.509451451559732,0.9998151559318849,6.792785334230422e-06,0.9998151559549601,6.794041172335142e-06
158,7406.25,3.5087938230767826,3.509451451559732,0.9998126049595202,-8.05951534302648e-07,0.999812604959845,-8.06102593930694e-07
159,7453.125,3.5088688879102095,3.509451451559732,0.9998339956511109,4.692262611349588e-06,0.9998339956621214,4.693041676642981e-06
160,7500.0,3.5088419574712075,3.509451451559732,0.9998263218111136,-2.383760905078043e-06,0.9998263218139553,-2.3841749842667818e-06
164,7687.5,3.508834815211364,3.509451451559732,0.9998242861159189,-1.2754393055267082e-05,0.9998242861972705,-1.2756634572383751e-05
165,7734.375,3.5088496123672024,3.509451451559732,0.9998285025274635,-5.204285110770278e-06,0.9998285025410081,-5.205177785557603e-06
166,7781.25,3.5087562454270533,3.509451451559732,0.999801897665823,1.2383003343190747e-05,0.9998018977425075,1.2385456930485342e-05
167,7828.125,3.5087821808328576,3.509451451559732,0.9998092874197955,-6.694921979962385e-06,0.9998092874422108,-6.696199029256753e-06
168,7875.0,3.5087843906228486,3.509451451559732,0.9998099172624255,2.5479830385437855e-06,0.9998099172656723,2.548467458209345e-06
169,7921.875,3.5088363207667,3.509451451559732,0.9998247141738024,1.3048604953446486e-05,0.9998247142589504,1.3050892589195761e-05
170,7968.75,3.508832231940317,3.509451451559732,0.9998235486110019,-4.656658734082763e-06,0.999823548621846,-4.657480552961894e-06
171,8015.625,3.5087987573640427,3.509451451559732,0.9998140115097038,-1.1474788408203136e-06,0.9998140115103623,-1.1476922983777096e-06
172,8062.5,3.5088077928215258,3.509451451559732,0.9998165858374217,8.568648272113794e-07,0.9998165858377889,8.570220171867631e-07
173,8109.375,3.5088021645297065,3.509451451559732,0.9998149829091343,-6.70222959895241e-06,0.9998149829315984,-6.70346985534336e-06
174,8156.25,3.5088678810967258,3.509451451559732,0.9998337075931292,-1.0337687252284417e-05,0.999833707646572,-1.0339406616727951e-05
175,8203.125,3.5088424403403495,3.509451451559732,0.9998264578945133,-8.123331249152277e-06,0.9998264579275132,-8.12474123367376e-06
176,8250.0,3.5088768117823834,3.509451451559732,0.9998362534237297,-1.026123134124527e-06,0.9998362534242563,-1.0262911857920966e-06
177,8296.875,3.508796452723384,3.509451451559732,0.9998133538508327,1.0009711089378043e-05,0.9998133539009392,1.0011579711843909e-05
178,8343.75,3.508795105903498,3.509451451559732,0.9998129696012108,-1.1874922059424356e-06,0.999812969601916,-1.187714344629401e-06
179,8390.625,3.508842887385758,3.509451451559732,0.9998265859044869,-4.126600226103045e-06,0.9998265859130028,-4.12731596084386e-06
180,8437.5,3.5088550387529405,3.509451451559732,0.9998300477681896,4.801408118036047e-08,0.9998300477681907,4.802224266767834e-08
181,8484.375,3.5088440616851333,3.509451451559732,0.9998269201477792,-5.216589330048079e-06,0.999826920161388,-5.217492372809592e-06
182,8531.25,3.5088237269159137,3.509451451559732,0.9998211251979803,-1.2149332013591247e-06,0.9998211251987185,-1.2151505611745808e-06
183,8578.125,3.508772511080483,3.509451451559732,0.9998065319953556,1.229646288210764e-05,0.9998065320709718,1.2298842313969567e-05
184,8625.0,3.5088557363232047,3.509451451559732,0.9998302475199523,2.3302506355002116e-06,0.9998302475226678,2.3306462684801807e-06
185,8671.875,3.508863329453888,3.509451451559732,0.999832411018933,-4.5166226657365833e-07,0.9998324110190351,-4.5173797288021186e-07
186,8718.75,3.5088199341895145,3.509451451559732,0.9998200444499059,-1.2623031254494912e-05,0.9998200445295907,-1.2625303247215172e-05
187,8765.625,3.508822797650335,3.509451451559732,0.9998208606986059,6.254920280941023e-06,0.9998208607181714,6.256040983670729e-06
188,8812.5,3.5087910154806816,3.509451451559732,0.999811805621408,-1.0760460919621892e-07,0.9998118056214138,-1.0762486359054297e-07
189,8859.375,3.508838009629003,3.509451451559732,0.9998251952865647,-2.0467457562243276e-06,0.9998251952886597,-2.0471035995795657e-06
190,8906.25,3.508793241206543,3.509451451559732,0.9998124394779215,1.1131624409405207e-06,0.9998124394785413,1.113371265435873e-06
191,8953.125,3.508822920849606,3.509451451559732,0.999820895858995,-3.82036709314535e-06,0.999820895866294,-3.821051459266105e-06
192,9000.0,3.5088142980504324,3.509451451559732,0.9998184389077784,-4.525346751248536e-06,0.9998184389180197,-4.526168527319032e-06
193,9046.875,3.508878167747964,3.509451451559732,0.9998366393029182,6.104244708939363e-06,0.9998366393215522,6.1052420654631864e-06
194,9093.75,3.5088157811787775,3.509451451559732,0.999818862328237,-1.4254388476602062e-06,0.9998188623292531,-1.4256970951116882e-06
195,9140.625,3.5088265974776456,3.509451451559732,0.9998219450075154,2.466858192196541e-07,0.9998219450075458,2.4672975068355276e-07
196,9187.5,3.5087880458795797,3.509451451559732,0.9998109580914898,8.856717848185645e-06,0.999810958130718,8.858392455370075e-06
197,9234.375,3.5088000763824176,3.509451451559732,0.9998143865113099,1.9804582195484217e-05,0.999814386707457,1.9808258872928276e-05
198,9281.25,3.508833171340595,3.509451451559732,0.999823816398461,9.234549088752876e-06,0.999823816441107,9.236176351304309e-06
199,9328.125,3.5087984519618147,3.509451451559732,0.999813924537502,-5.509231666805699e-06,0.9998139245526806,-5.510256990367906e-06
200,9375.0,3.5088186481140773,3.509451451559732,0.9998196798720825,-9.057563959536046e-06,0.9998196799131097,-9.059197514942989e-06
201,9421.875,3.5088226062828705,3.509451451559732,0.9998208073622319,3.1618807878480007e-06,0.9998208073672316,3.1624474751423337e-06
202,9468.75,3.5088105119207023,3.509451451559732,0.9998173607767333,-2.971588481294261e-06,0.9998173607811494,-2.9721313090392408e-06
203,9515.625,3.5088363375078324,3.509451451559732,0.9998247190785903,1.4217793571544176e-06,0.9998247190796011,1.4220286116387783e-06
