bin,freq_hz,abs_y,abs_x,real_h,imag_h,abs_h,phase_h
8,375.0,17.21428539979345,4.810157234305641,-0.04328568265748366,3.2894532051358403,3.289737989430401,1.5839544968023025
9,421.875,26.301781277457145,4.810157234305641,5.006569817593609,1.281288834476166,5.167924381779652,0.2505440235377382
10,468.75,25.093024460004195,4.810157234305641,2.994279366197911,-4.038032940647906,5.027068624217908,-0.9327449958126417
11,515.625,22.93744846855564,4.810157234305641,-0.3480078356284694,-4.630549057624533,4.643607867674257,-1.6458100740591106
12,562.5,25.817685449862473,4.810157234305641,-4.089593901845564,-2.4908009573496015,4.788409724652446,-2.594539274603214
13,609.375,15.709883686155775,4.810157234305641,-2.9347120336882524,-0.5791223882026747,2.9913069821053484,-2.94676057769636
14,656.25,27.47716947281005,4.810157234305641,-4.309108893972805,1.658192283695794,4.617144259152383,2.7742484679725123
15,703.125,16.998295197809497,4.810157234305641,0.7469179399611838,3.0243327419944563,3.1152006264983263,1.3286719280828347
16,750.0,13.632566192969113,4.810157234305641,-0.04473694657089483,0.15773547569635646,0.1639569293492744,1.8471587543550458
17,796.875,14.0455416336966,4.810157234305641,2.2861499702237618,-0.5759847058558623,2.357592006207599,-0.24680867995176448
18,843.75,10.241683464302811,4.810157234305641,0.20424805338514762,-1.769073109957654,1.7808247908446433,-1.455850419682263
19,890.625,10.169852488207816,4.810157234305641,-0.11103277361388803,-1.7806496952114932,1.7841080723636604,-1.6330709021262235
20,937.5,13.923987702843977,4.810157234305641,-1.2587897060879765,-1.9484501292619545,2.319700288911044,-2.144387378584528
21,984.375,16.356971211083422,4.810157234305641,-0.07176037535362584,-2.886871934912068,2.8877636884021243,-1.5956486937627856
22,1031.25,36.21530889854707,4.810157234305641,-4.258196782430929,-5.922074572357166,7.294052856846078,-2.1941855431057293
23,1078.125,42.953128231476065,4.810157234305641,-7.902785879166003,-3.2907374069024793,8.56054772389786,-2.747026901507776
24,1125.0,42.35373145324981,4.810157234305641,-8.214639107918641,2.2803171348920186,8.52526491723445,2.8708183904224223
25,1171.875,35.00873211555522,4.810157234305641,-5.782540106590494,4.0229418375243835,7.044276478988574,2.5337550861226843
26,1218.75,31.275076771556414,4.810157234305641,-4.003152183971217,4.634014771534365,6.123668860318316,2.2832835109754313
