symbol,iters,converged,median_abs_llr
0,7,True,2.777689995901979
1,7,True,2.7650114860108186
2,11,True,2.7647221493088905
3,10,True,2.733185329220974
4,9,True,2.697426306070394
5,9,True,2.7119010980406504
6,7,True,2.803310025400296
7,8,True,2.780884925539235
8,6,True,2.854667470982034
9,7,True,2.89041511199476
10,9,True,2.9645592804875647
11,10,True,3.01252995144373
12,9,True,3.015047968955872
13,8,True,3.0694157736064045
14,10,True,3.129843038081444
15,7,True,3.219803507800311
16,8,True,3.275242148029152
17,9,True,3.3753391100707484
18,12,True,3.278434039968926
19,11,True,3.1680895245784964
20,16,True,3.1334832978088016
21,10,True,3.1090405757198782
22,21,True,3.014583488062807
23,18,True,2.982642449094543
24,19,True,2.893997392731317
25,9,True,2.8538577981759965
26,12,True,2.8188823864160955
27,12,True,2.7919311015805617
28,8,True,2.7384620514637836
29,6,True,2.7307942268241385
30,9,True,2.7582631476394486
31,16,True,2.6768682253181906
32,15,True,2.6616590532457263
33,8,True,2.746013998890477
34,7,True,2.780638136564967
35,14,True,2.7837140596460954
36,7,True,2.8348352425267658
37,15,True,2.887061419282511
38,7,True,2.909737977433191
39,9,True,2.970934061497304
40,9,True,3.0531207101341646
41,13,True,3.0684204596623186
42,10,True,3.0915160805165427
43,7,True,3.1499962642073474
44,7,True,3.228257233060919
45,6,True,3.273023223122949
46,7,True,3.1940922816498944
47,8,True,3.1621350660293217
48,8,True,3.0999354009339166
49,8,True,3.0214431251549065
50,12,True,2.99431585008987
51,6,True,2.956263939004459
52,11,True,2.8808307177857984
53,8,True,2.822666788586875
54,5,True,2.81384787732312
55,9,True,2.794263703276491
56,9,True,2.823495482153069
57,8,True,2.8073540121269094
58,14,True,2.7087473563433786
59,9,True,2.725512332811183
60,11,True,2.717537035004044
61,7,True,2.739911654908723
62,10,True,2.7476085737575207
63,7,True,2.726127381864529
64,9,True,2.7737936427373366
65,9,True,2.7995752392697546
66,9,True,2.8338949274236316
67,9,True,2.8988991348055224
68,11,True,2.920785498259104
69,9,True,3.007221340734457
70,7,True,3.124209698098195
71,7,True,3.098589391858029
72,9,True,3.1656663793672424
73,11,True,3.2338775298834435
74,8,True,3.272001654233772
75,12,True,3.2356149628404314
76,8,True,3.1154343632748
77,11,True,3.0800125083461554
78,9,True,2.9716294388095763
79,10,True,2.9729884320547333
80,9,True,2.8610118044356208
81,9,True,2.839847817954288
82,8,True,2.8171712224494883
83,9,True,2.7578842040147222
84,11,True,2.7564451404576777
85,7,True,2.761347454223846
86,11,True,2.736236321375195
87,8,True,2.666914638836409
88,7,True,2.662651181686665
89,10,True,2.721614078154296
90,8,True,2.680969718028978
91,8,True,2.7199771350223534
92,9,True,2.7453693702004265
93,8,True,2.7551657488227557
94,8,True,2.781150371474384
95,10,True,2.8081097937260817
96,10,True,2.8722897962388187
97,8,True,2.958461605661579
98,10,True,3.015169162730394
99,9,True,3.000728286809494
100,10,True,3.134153503221704
101,9,True,3.1707210253367477
102,6,True,3.2711014507857095
103,6,True,3.1898394462494757
104,5,True,3.16464380588657
105,7,True,3.12256079165443
106,8,True,3.076496057747991
107,7,True,2.9453640082716355
108,9,True,2.931266465535888
109,9,True,2.859098430277818
110,11,True,2.7861578215001943
111,11,True,2.733680231072066
112,7,True,2.734550098706647
113,7,True,2.66880186768039
114,9,True,2.7159210351460703
115,9,True,2.713225235404799
116,8,True,2.6554003299871525
117,10,True,2.633377194547281
118,10,True,2.678805483228079
119,7,True,2.6817227225720464
120,6,True,2.7135181170362888
121,8,True,2.7160012322491642
122,7,True,2.747393804173252
123,7,True,2.831383012341881
124,6,True,2.883507245455588
125,7,True,2.9456617391164563
126,7,True,2.988251281174753
127,7,True,3.0683640873375984
128,6,True,3.1478973595931716
129,8,True,3.1877629333097692
130,9,True,3.239352821754515
131,8,True,3.1408452326389478
132,7,True,3.1205550377195306
133,6,True,3.0740674090871156
134,10,True,3.0131365825634813
135,8,True,3.0168318479022718
136,8,True,2.972004590594043
137,6,True,2.9100631722960406
138,6,True,2.843789790458037
139,10,True,2.786821898885641
140,7,True,2.689240474177896
141,7,True,2.6891979028981057
142,7,True,2.6798937077041027
143,15,True,2.6898870592634623
144,11,True,2.726975117874722
145,7,True,2.632429318292713
146,8,True,2.6519917608495467
147,9,True,2.6524446207297467
148,10,True,2.756114887121878
149,6,True,2.773459067689423
150,9,True,2.828804757420013
151,8,True,2.8156461500213408
152,8,True,2.916524244622157
153,9,True,2.9078066714750084
154,8,True,2.977540587081826
