input,probe_sync_score,file_sync_score,payload_start,payload_delta,pilot_score,pilot_residual,mean_abs_h,header_ok,file_match,byte_errors,bit_errors,bit_error_rate,first16_hex,error
data/step2_file/receive_exp2_combo_bpsk_pilot4_8_150_17.wav,0.06827284461863431,0.018615244837653484,483021,-20,227.7001782610114,227.7001782610114,0.18924912353205733,False,False,4396,17442,0.4937160326086957,b74cca4329e8ab6f07fa602bef944539,UnicodeDecodeError: 'utf-8' codec can't decode byte 0xb7 in position 0: invalid start byte
data/step2_file/receive_exp2_combo_bpsk_pilot4_8_150_18.wav,0.06590852796833409,0.018452821796130767,511999,-16,379.35957919299835,379.35957919299835,0.1824052438748848,False,False,4397,17561,0.49708446557971014,a574ea032ce994693fde24e7ef9c4d29,UnicodeDecodeError: 'utf-8' codec can't decode byte 0xa5 in position 0: invalid start byte
data/step2_file/receive_exp2_combo_bpsk_pilot4_8_150_19.wav,0.05839382581648528,0.018969289138035333,520774,-15,637.619037219523,637.619037219523,0.19958522050967664,False,False,4392,17437,0.4935745018115942,8458c261f128a90fb4566e2ee62a8929,UnicodeDecodeError: 'utf-8' codec can't decode byte 0x84 in position 0: invalid start byte
