bin,freq_hz,real_h_mean,imag_h_mean,abs_h_mean,phase_h_mean,abs_h_std
8,375.0,0.2189077392456901,5.931671300744169,5.935709310467763,1.5339081670775239,0.5929932611929017
9,421.875,7.335887293048505,0.20259908352330386,7.3386844028718805,0.027610511130419273,1.3067206624266237
10,468.75,6.310540265892977,-4.247022366281359,7.606583821082281,-0.5923775493954448,1.1595746286641329
11,515.625,3.5044331304090592,-2.924829336826615,4.564611507573263,-0.6954903043383125,0.5220496982368986
12,562.5,3.898457118856088,-4.151991528975362,5.695349116976313,-0.8168809602865456,0.6277566416562357
13,609.375,4.41431875124805,-2.115596183456361,4.895095223698439,-0.4469164881454635,0.6217496091407564
14,656.25,6.337154490290376,-2.871611132105761,6.957418884028847,-0.42546115866130135,1.13347786038685
15,703.125,3.0293064403747887,-1.152314546183938,3.241068700759561,-0.3634867952380753,0.5871301315477236
16,750.0,2.0238291406021056,1.657131234538273,2.615715641814415,0.6861055922597171,0.5645102579822932
17,796.875,3.073904271086491,-3.5076648785045466,4.663968306892542,-0.8512083393543761,1.1436712932493822
18,843.75,-1.0066306304662094,-2.323396891169455,2.532089718017252,-1.9796408535212573,0.6805092944527423
19,890.625,0.6480254329482672,-1.6409554810250733,1.7642765804867497,-1.1946878323440449,0.30086132594089376
20,937.5,-0.3871487317806513,-2.1260873170371477,2.1610486852881365,-1.7509172553517192,0.6944752419868961
21,984.375,0.9224515851066735,-2.380453456888098,2.552934700942488,-1.2011025889583695,1.0023618888608326
22,1031.25,1.3828757648096226,-0.9565583854161659,1.681472368374747,-0.6051451033730015,0.9870906435258311
23,1078.125,1.1127946164001858,-0.7723137422993994,1.3545406508605564,-0.6067085480030159,1.2452418423865712
24,1125.0,1.4135585232412682,-4.30624853505598,4.532319951669322,-1.2536209270432253,2.046515906640517
25,1171.875,2.365822646731835,-1.4179881253188549,2.758225356879765,-0.5399514733646447,1.1779821219098583
26,1218.75,0.5499940854834865,-1.0127790472278133,1.1524820573746448,-1.0733012895765603,0.7279162069103436
27,1265.625,-1.0082090643490145,-0.5108710886814931,1.1302543017773166,-2.672590301817776,0.4093498767974077
