bin,freq_hz,abs_h_mean,abs_h_std,phase_coherence
8,375.0,5.953080503325848,0.3809442834792814,0.9970120201099296
9,421.875,7.372442608199117,1.1004079440724994,0.9948188710542283
10,468.75,7.654544008478384,0.7827431052777968,0.9928584151817464
11,515.625,4.591348220871536,0.16654013690179892,0.9939774724925241
12,562.5,5.727455896547078,0.16531460460131506,0.9942680707410065
13,609.375,4.928076466701551,0.2501842598652079,0.9929996812394519
14,656.25,7.04885773041209,0.06367326156304108,0.9870837291296104
15,703.125,3.268700418156486,0.4060119342558004,0.990823538312214
16,750.0,2.644615600832078,0.40822600852397917,0.9896065109415604
17,796.875,4.792038759869288,0.31136621302128403,0.970805400747489
18,843.75,2.6178853260411827,0.1457657697249466,0.9688985009684936
19,890.625,1.7846922057732388,0.13439910919787407,0.9880981729938935
20,937.5,2.258096730409643,0.23114159736321807,0.9586105558175202
21,984.375,2.64807209888371,0.7140862011204191,0.9693977196413242
22,1031.25,1.6974625913743195,0.9593320671325435,0.9890760564103769
23,1078.125,1.7374385551846132,0.6055698868190577,0.8110862779884994
24,1125.0,4.614067738829881,1.854866680363246,0.9427160167768045
25,1171.875,2.9772740939467743,0.3623368162182405,0.9323930332265452
26,1218.75,1.1838624922582008,0.6756822450512054,0.959289758478023
27,1265.625,1.1381078668396323,0.38697880014016767,0.9929497577689507
28,1312.5,1.4761931638830283,0.28337381936533823,0.9307005735895254
29,1359.375,0.9360636901727716,0.3462165747264551,0.9865291589148146
30,1406.25,2.136865042152659,0.1116244941611331,0.922428931680176
31,1453.125,1.3546365701009542,0.15725353505334014,0.8091477680186341
32,1500.0,0.33798649867384156,0.12129902149869053,0.695850983786008
33,1546.875,2.1859927719897163,0.17131763080557905,0.9431120684772191
34,1593.75,3.989846947938177,0.2532819071453813,0.9356357513171033
35,1640.625,2.9657414212371838,0.22701749857933978,0.953537660339463
36,1687.5,1.0492168984138663,0.1142864653220914,0.971167133602779
37,1734.375,1.0750245482126843,0.16754379962622412,0.9651875149986128
38,1781.25,0.8530921767419162,0.266212429431807,0.9655069573494824
39,1828.125,1.4350577687126174,0.1785032169970763,0.944365749172911
40,1875.0,1.0092217363425886,0.23059200383836354,0.8951376165241125
41,1921.875,0.4442444982759488,0.14015677106247662,0.24973845536560746
42,1968.75,1.4325223774170657,0.45015218568433224,0.9621853451166998
43,2015.625,1.4248394072065687,0.31880248099307795,0.9703304112142044
44,2062.5,1.5734039306345537,0.3271931740709081,0.8966583973994565
45,2109.375,1.5899022633967594,0.1878084534290297,0.9160316193219159
46,2156.25,1.2479107048952813,0.2057393075444648,0.9469956579521455
47,2203.125,1.0110892272908776,0.13125413363258331,0.915296609794633
48,2250.0,0.916617500702315,0.06885269180714115,0.9433020176497559
49,2296.875,1.3808892478782158,0.12326354885199783,0.9220728227124564
50,2343.75,0.7004161210780664,0.17359278459656338,0.9787705863217055
51,2390.625,0.6848004513904644,0.07311804672630245,0.9615836229710706
52,2437.5,0.3835940012952783,0.12797467359712475,0.9663872339891862
53,2484.375,0.5874371718155261,0.14439902107754085,0.9638677230777172
54,2531.25,0.5835848094415818,0.2165237125565601,0.927929495507751
55,2578.125,0.9521015546036582,0.15461459919337,0.9141728616756769
56,2625.0,0.6017685154642118,0.11544728553730262,0.9721835580671213
57,2671.875,0.5241185257436017,0.21312963596553647,0.7259680494431253
58,2718.75,0.4364011794621586,0.20843443343180051,0.9114561872263399
59,2765.625,0.3368080672645152,0.08485899744478684,0.9650231707132515
60,2812.5,0.33585662539705646,0.09537128383943803,0.9967689488081894
61,2859.375,0.34699167543759096,0.10473403596229083,0.9811081942301465
62,2906.25,0.7076507075868851,0.13633583035689284,0.9105672048557757
63,2953.125,0.44497610494548895,0.11976742870024272,0.971671485279619
64,3000.0,0.6385530047870942,0.1582015609054895,0.8571668161337197
65,3046.875,0.5071207501890471,0.18124096453905353,0.8639369648370473
66,3093.75,0.2936503498348986,0.0569262814090208,0.9652264021951071
67,3140.625,0.225194556669849,0.078740543679703,0.7030846870390997
68,3187.5,0.3067794671974481,0.15173158678779114,0.8739959486483089
69,3234.375,0.25083362002084225,0.09151947933571869,0.9561845556876725
70,3281.25,0.22344427530747563,0.08539787119076023,0.34234784424898645
71,3328.125,0.36753308499241044,0.17215719820181047,0.5591244620335468
72,3375.0,0.48605343346025504,0.09557282336078045,0.9349936013975715
73,3421.875,0.363535519411225,0.06980615257895614,0.9828078720454764
74,3468.75,0.3197035670995584,0.059531357417804596,0.997561522674094
75,3515.625,0.28597137665391364,0.06830320407386219,0.9784768380701011
76,3562.5,0.271046295330124,0.031907114239228526,0.9939375484622649
77,3609.375,0.2379810006452825,0.035912789522336966,0.9734659352987255
78,3656.25,0.3009808625554266,0.10479992761876024,0.935557386532653
79,3703.125,0.19333408553501114,0.10719026829282322,0.8222467524389472
80,3750.0,0.19951208173469095,0.07282358355045775,0.7324097919712562
81,3796.875,0.2508976450533051,0.030613654554384712,0.8031787454116459
82,3843.75,0.5608166584824192,0.14684608367173005,0.7938652238633709
83,3890.625,0.7622026064540043,0.08772370564071441,0.7450999242667665
84,3937.5,0.17407578920205,0.11469241841212884,0.46613931983857515
85,3984.375,0.5357439810099203,0.18403443891261143,0.5692764232717146
86,4031.25,0.48159547452661977,0.15322395584338078,0.7559437908348219
87,4078.125,0.779131337050233,0.15458799959540942,0.5101873604173397
88,4125.0,1.1801627911385357,0.11276223801955568,0.47917304927454585
89,4171.875,0.8468430338563075,0.09741448950507453,0.5205203980428333
90,4218.75,0.3355399379658092,0.0908543248674985,0.8878909899874715
91,4265.625,0.22076632351623235,0.08478784461466113,0.9402665256908055
92,4312.5,0.23600993049380184,0.029894179498805025,0.887549164304614
93,4359.375,0.3481863095853874,0.1392894736716124,0.702097660357419
94,4406.25,0.43495225110456676,0.09585429065918837,0.8095970654431407
95,4453.125,0.4968908907014368,0.1947083718567638,0.8028050800844794
96,4500.0,0.4845591672242985,0.203967611301912,0.5898658950529235
97,4546.875,0.42248244389155226,0.15202252691468626,0.41922401714648666
98,4593.75,0.6025588611364003,0.17559937368959894,0.6347888963011821
99,4640.625,0.17237065340786428,0.055582659379140205,0.9559793558361672
100,4687.5,0.4304420966592706,0.13923562814364446,0.43279855245615384
101,4734.375,0.29278542557557086,0.04680506248772771,0.7632712437890371
102,4781.25,0.37489919896403234,0.15182231406282898,0.2901409306089047
103,4828.125,0.3243784372784594,0.12675954381347174,0.24399654163026882
104,4875.0,0.21851953393965257,0.11706346843138958,0.5315506399436144
105,4921.875,0.21517104422655658,0.0340560536136488,0.8600072381560143
106,4968.75,0.1741967701885057,0.06999829546560661,0.8146375586848501
107,5015.625,0.3546695828677986,0.13224933463995125,0.6110893997504128
108,5062.5,0.15463439380248117,0.05070534635302647,0.8742868880883281
109,5109.375,0.17673887855024248,0.0873971468829193,0.7925036677037541
110,5156.25,0.3013664331953869,0.14375037955395747,0.1284454126710473
111,5203.125,0.2747261066059989,0.1303002210293822,0.46439632314650336
112,5250.0,0.23884513290703197,0.0612898011570171,0.8795215496755299
113,5296.875,0.31945226690415873,0.1237936563529034,0.6391419898784155
114,5343.75,0.16007290408079347,0.11910534695831375,0.4066704330759157
115,5390.625,0.2479684149464969,0.08086432654082591,0.7187286013362254
116,5437.5,0.12989315443943433,0.07739695317740478,0.8420197382940751
117,5484.375,0.31697791494175603,0.12892459703100767,0.2983642744043864
118,5531.25,0.5036420214716377,0.08820604230238528,0.30968533867446807
119,5578.125,0.19479041110299006,0.07595860390140145,0.9726064098012487
120,5625.0,0.46856303920188225,0.116268920801179,0.2943917802785387
121,5671.875,0.4350009365689888,0.15164455844968144,0.19054353181289727
122,5718.75,0.26725486809537713,0.11885066853007246,0.15596646790961685
123,5765.625,0.24923510334561336,0.12493729606761579,0.2959231909339019
124,5812.5,0.18973767343169,0.09707540949697437,0.3374607873767198
125,5859.375,0.30025837536641536,0.14993464581176424,0.2005005946762412
126,5906.25,0.35393606493970353,0.1360296042751358,0.09976840761368462
127,5953.125,0.12659356340729438,0.10368731613186104,0.4801930922561177
128,6000.0,0.3118319194468178,0.12190430816636046,0.45439916376527134
129,6046.875,0.4012710131319916,0.11357263080690204,0.4144271922833603
130,6093.75,0.2127884512713229,0.07332163573413031,0.7755175027355573
131,6140.625,0.2591889645594539,0.13884823914273428,0.9594971882930572
132,6187.5,0.2073165755262441,0.11845261323886742,0.5178241958054774
133,6234.375,0.19450777201140595,0.10343696789759055,0.6205476580778256
134,6281.25,0.2514849139726619,0.06568270610594018,0.2998616830837425
135,6328.125,0.3905517995419129,0.16118003562904232,0.1656545443366977
136,6375.0,0.1836397030607207,0.08931935943766268,0.4425697257835268
137,6421.875,0.4770217719346325,0.06614576677229408,0.3257897918660136
138,6468.75,0.19090937785344214,0.10869660832088768,0.3592998930245653
139,6515.625,0.273605370104828,0.11687451977295314,0.5458155754415247
140,6562.5,0.364607504646371,0.11764864037037832,0.4846117373221751
141,6609.375,0.35857486970543967,0.08779450067554855,0.6137312687475489
142,6656.25,0.23164249189268543,0.0771635622671615,0.5371868220104178
143,6703.125,0.18084812764622046,0.09472309419220086,0.8285390699689651
144,6750.0,0.22002442777392311,0.09514925921915016,0.605354409296223
145,6796.875,0.21144989590510374,0.13137672777306447,0.6569681277072809
146,6843.75,0.17536844619301317,0.1275480954537629,0.31217295466574574
147,6890.625,0.16496664452040086,0.09620851824383589,0.6611683460481163
148,6937.5,0.19113034903283538,0.09806210524861207,0.8590519779118436
149,6984.375,0.2276553816475964,0.09652876173346106,0.5084709215641371
150,7031.25,0.3609998913031006,0.09058542600787618,0.24505224092692915
