bin,freq_hz,abs_y,abs_x,real_h,imag_h,abs_h,phase_h
8,375.0,10.528657256655881,3.401294798951057,1.5348583245141234,-0.2876809660471934,1.5615858652524197,-0.18528188132891363
9,421.875,10.189931795659852,3.401294798951057,-0.2045595963883099,-0.9489238623105127,0.9707219606750684,-1.7831173187849454
10,468.75,11.571559696221186,3.401294798951057,-1.4679006780859254,-0.8886240555839353,1.7159210683733563,-2.5972334671477215
11,515.625,6.898763590477417,3.401294798951057,-0.8666186742237083,0.09191850330149129,0.8714797403052145,3.0359220490657246
12,562.5,9.04693612811388,3.401294798951057,-0.7140973014863503,-0.0392506728849375,0.7151752032278579,-3.0866824666134547
13,609.375,7.4657690973709725,3.401294798951057,-0.6869900917483392,0.24924972489456232,0.7308083274843046,2.793548032052723
14,656.25,9.528534823354741,3.401294798951057,-0.8220748991220962,0.6104212426879588,1.0239244275293546,2.5028848322548605
15,703.125,10.666648501663218,3.401294798951057,-0.4599653131061186,0.637999490656943,0.7865185562587372,2.1954443237257215
16,750.0,9.118511581500757,3.401294798951057,0.22192934525002708,0.5557358499927936,0.5984103686019473,1.190856265292796
17,796.875,8.315570073307267,3.401294798951057,0.2719476373015851,0.59455835447943,0.6538005462793695,1.1418102911117671
18,843.75,6.894210912508573,3.401294798951057,0.2556220927680168,0.6718477999331978,0.7188338616023724,1.2072332760809827
19,890.625,6.128497049836175,3.401294798951057,0.21362807695867764,0.29686030189955287,0.3657362357067677,0.9470203277263741
20,937.5,7.009618350563978,3.401294798951057,0.3029689105751767,0.27069349338881543,0.4062820795188364,0.7291953750612339
21,984.375,8.929236954035614,3.401294798951057,0.5827169582003924,0.2526390157505404,0.6351263855751228,0.4090932305684744
22,1031.25,4.437630744199242,3.401294798951057,0.3816348560143623,-0.09481426579419258,0.39323645345160313,-0.24351211628530342
23,1078.125,2.6719184875969106,3.401294798951057,0.1715171206149495,-0.12918991411969444,0.21472809917264477,-0.6455579389887632
