bin,freq_hz,errors,symbols,ber
129,6046.875,6,1899,0.00315955766192733
130,6093.75,18,1899,0.009478672985781991
131,6140.625,19,1899,0.010005265929436546
132,6187.5,16,1899,0.00842548709847288
133,6234.375,12,1899,0.00631911532385466
134,6281.25,21,1899,0.011058451816745656
135,6328.125,13,1899,0.006845708267509215
137,6421.875,17,1899,0.008952080042127435
138,6468.75,15,1899,0.007898894154818325
139,6515.625,14,1899,0.00737230121116377
140,6562.5,13,1899,0.006845708267509215
141,6609.375,14,1899,0.00737230121116377
142,6656.25,8,1899,0.00421274354923644
143,6703.125,11,1899,0.005792522380200105
145,6796.875,63,1899,0.03317535545023697
146,6843.75,14,1899,0.00737230121116377
147,6890.625,8,1899,0.00421274354923644
148,6937.5,25,1899,0.013164823591363875
149,6984.375,13,1899,0.006845708267509215
150,7031.25,16,1899,0.00842548709847288
151,7078.125,28,1899,0.01474460242232754
153,7171.875,15,1899,0.007898894154818325
154,7218.75,79,1899,0.04160084254870985
155,7265.625,12,1899,0.00631911532385466
156,7312.5,11,1899,0.005792522380200105
157,7359.375,13,1899,0.006845708267509215
158,7406.25,19,1899,0.010005265929436546
159,7453.125,12,1899,0.00631911532385466
165,7734.375,12,1899,0.00631911532385466
166,7781.25,15,1899,0.007898894154818325
167,7828.125,14,1899,0.00737230121116377
168,7875.0,13,1899,0.006845708267509215
169,7921.875,67,1899,0.03528172722485519
170,7968.75,125,1899,0.06582411795681938
171,8015.625,330,1899,0.17377567140600317
173,8109.375,9,1899,0.004739336492890996
174,8156.25,14,1899,0.00737230121116377
175,8203.125,20,1899,0.010531858873091101
176,8250.0,103,1899,0.05423907319641917
177,8296.875,33,1899,0.017377567140600316
178,8343.75,30,1899,0.01579778830963665
179,8390.625,9,1899,0.004739336492890996
181,8484.375,8,1899,0.00421274354923644
182,8531.25,15,1899,0.007898894154818325
183,8578.125,17,1899,0.008952080042127435
184,8625.0,16,1899,0.00842548709847288
185,8671.875,22,1899,0.01158504476040021
186,8718.75,14,1899,0.00737230121116377
187,8765.625,17,1899,0.008952080042127435
189,8859.375,14,1899,0.00737230121116377
190,8906.25,15,1899,0.007898894154818325
191,8953.125,17,1899,0.008952080042127435
192,9000.0,22,1899,0.01158504476040021
193,9046.875,22,1899,0.01158504476040021
194,9093.75,16,1899,0.00842548709847288
195,9140.625,18,1899,0.009478672985781991
197,9234.375,17,1899,0.008952080042127435
198,9281.25,21,1899,0.011058451816745656
199,9328.125,20,1899,0.010531858873091101
200,9375.0,23,1899,0.012111637704054766
201,9421.875,20,1899,0.010531858873091101
202,9468.75,28,1899,0.01474460242232754
203,9515.625,23,1899,0.012111637704054766
205,9609.375,21,1899,0.011058451816745656
206,9656.25,18,1899,0.009478672985781991
207,9703.125,23,1899,0.012111637704054766
208,9750.0,14,1899,0.00737230121116377
209,9796.875,22,1899,0.01158504476040021
210,9843.75,26,1899,0.01369141653501843
211,9890.625,20,1899,0.010531858873091101
213,9984.375,28,1899,0.01474460242232754
214,10031.25,16,1899,0.00842548709847288
215,10078.125,15,1899,0.007898894154818325
216,10125.0,14,1899,0.00737230121116377
217,10171.875,24,1899,0.01263823064770932
218,10218.75,19,1899,0.010005265929436546
219,10265.625,16,1899,0.00842548709847288
221,10359.375,27,1899,0.014218009478672985
222,10406.25,19,1899,0.010005265929436546
223,10453.125,18,1899,0.009478672985781991
224,10500.0,15,1899,0.007898894154818325
225,10546.875,21,1899,0.011058451816745656
226,10593.75,24,1899,0.01263823064770932
227,10640.625,20,1899,0.010531858873091101
229,10734.375,17,1899,0.008952080042127435
230,10781.25,21,1899,0.011058451816745656
231,10828.125,44,1899,0.02317008952080042
232,10875.0,25,1899,0.013164823591363875
233,10921.875,14,1899,0.00737230121116377
234,10968.75,25,1899,0.013164823591363875
235,11015.625,27,1899,0.014218009478672985
237,11109.375,22,1899,0.01158504476040021
238,11156.25,25,1899,0.013164823591363875
239,11203.125,117,1899,0.061611374407582936
316,14812.5,13,1899,0.006845708267509215
317,14859.375,27,1899,0.014218009478672985
318,14906.25,16,1899,0.00842548709847288
319,14953.125,19,1899,0.010005265929436546
320,15000.0,17,1899,0.008952080042127435
321,15046.875,16,1899,0.00842548709847288
322,15093.75,19,1899,0.010005265929436546
324,15187.5,16,1899,0.00842548709847288
325,15234.375,18,1899,0.009478672985781991
326,15281.25,16,1899,0.00842548709847288
327,15328.125,25,1899,0.013164823591363875
328,15375.0,18,1899,0.009478672985781991
