symbol,iters,converged,median_abs_llr
0,9,True,2.894038120250926
1,7,True,2.6834747624327284
2,10,True,2.5927721102210226
3,10,True,2.5568224702828326
4,24,True,2.6033258282976313
5,29,True,2.7372877852727346
6,10,True,2.9294864011236186
7,9,True,3.168031436055143
8,12,True,3.0873716641622684
9,31,True,2.90298022669088
10,28,True,2.7596281532882934
11,11,True,2.6875182086495375
12,7,True,2.689747932668138
13,9,True,2.751714454034592
14,8,True,2.964552971221946
15,7,True,3.2802992352469635
16,11,True,3.354578267440128
17,8,True,3.1703110990836425
18,13,True,3.0081174926542875
19,15,True,2.8294180496521317
20,20,True,2.824300669069209
21,21,True,2.896150169114012
22,22,True,3.0583046773234326
23,11,True,3.266588630494138
24,8,True,3.5201788299685024
25,11,True,3.378357049310527
26,22,True,3.094478750221789
27,21,True,2.9373735929363285
28,13,True,2.8163944693641847
29,10,True,2.796006299383128
30,10,True,2.901234432659682
31,6,True,3.1437413856554555
32,4,True,3.31827051258135
33,4,True,3.4189019797512694
34,3,True,3.1262367422998882
35,3,True,2.9318182927376313
36,4,True,2.787496385851566
37,4,True,2.777457513403407
38,3,True,2.793406903054951
