bin,freq_hz,abs_y,abs_y_theory,real_h,imag_h,abs_h,phase_h
8,375.0,13.509539222277606,13.51069878472222,0.9999141739552665,-7.960569414232065e-18,0.9999141739552665,-7.961252697062178e-18
9,421.875,13.510145802333872,13.51069878472222,0.9999590704373043,-1.79754793224595e-18,0.9999590704373043,-1.7976215081081696e-18
10,468.75,13.51020952311621,13.51069878472222,0.999963786608122,4.590167041270909e-18,0.999963786608122,4.590333272808568e-18
11,515.625,13.510455614889711,13.51069878472222,0.9999820013799838,3.498798653835867e-18,0.9999820013799838,3.498861628516808e-18
12,562.5,13.510504861575738,13.51069878472222,0.9999856464370646,-3.0815107409930572e-18,0.9999856464370646,-3.081554972286291e-18
13,609.375,13.510448116163007,13.51069878472222,0.999981446389247,1.925944213120661e-18,0.999981446389247,1.9259799470029155e-18
14,656.25,13.510454328537723,13.51069878472222,0.9999819061459346,1.6434723951962973e-17,0.9999819061459346,1.6435021324840385e-17
15,703.125,13.510203595331905,13.51069878472222,0.9999633479232298,-4.42967169017752e-18,0.9999633479232298,-4.4298340527953016e-18
16,750.0,13.509573594277775,13.51069878472222,0.9999167157530932,2.4652085927944458e-17,0.9999167157530932,2.465413922936331e-17
17,796.875,13.509679544968199,13.51069878472222,0.9999245568528913,9.758117346478015e-18,0.9999245568528913,9.758853585104649e-18
18,843.75,13.510188856500582,13.51069878472222,0.9999622570011255,1.2487158982165954e-17,0.9999622570011255,1.2487630302782417e-17
19,890.625,13.51031774276239,13.51069878472222,0.9999717966572945,5.3926437967378506e-17,0.9999717966572945,5.392795891608522e-17
20,937.5,13.510432708982227,13.51069878472222,0.9999803060012368,1.0271702469976858e-18,0.9999803060012368,1.0271904764856594e-18
21,984.375,13.510494278061563,13.51069878472222,0.9999848631275063,7.351307747177526e-18,0.9999848631275063,7.35141902466995e-18
22,1031.25,13.510499208565173,13.51069878472222,0.9999852279962419,9.758117346478015e-18,0.9999852279962419,9.7582614955535e-18
23,1078.125,13.51043109357094,13.51069878472222,0.999980186563025,2.4705980393713392e-17,0.999980186563025,2.4706469913797902e-17
24,1125.0,13.510278762667587,13.51069878472222,0.9999689114425191,8.217361975981486e-18,0.9999689114425191,8.217617449853932e-18
25,1171.875,13.50958017077933,13.51069878472222,0.9999172026982333,3.5950958644919e-18,0.9999172026982333,3.595393553376909e-18
26,1218.75,13.50947332904855,13.51069878472222,0.9999092942661965,-1.2839628087471072e-17,0.9999092942661965,-1.2840792821006521e-17
27,1265.625,13.510137002703496,13.51069878472222,0.9999584190133612,3.970717052760463e-17,0.9999584190133612,3.97088216595875e-17
28,1312.5,13.510290731059463,13.51069878472222,0.9999697974589029,3.0815107409930572e-18,0.9999697974589029,3.0816038132588723e-18
