bin,frequency_hz,real,imag,abs,phase
8,375.000000,0.0473675901217,0.0102412770424,0.0484620712454,0.212931006882
9,421.875000,0.0526578131837,-0.0327866670955,0.062030724875,-0.556897785489
10,468.750000,0.00293872879162,-0.0804154188242,0.0804690978673,-1.53426823718
11,515.625000,-0.0679329530141,-0.0682234545946,0.0962773382579,-2.35406090614
12,562.500000,-0.132982265882,-0.0321106497174,0.136804155143,-2.90466230494
13,609.375000,-0.107899275585,0.0867248066242,0.138432097997,2.46456500412
14,656.250000,-0.0978308381347,0.134812238747,0.166568942502,2.19855151634
15,703.125000,0.0510072497904,0.152260340379,0.160576931044,1.24754631196
16,750.000000,0.0536357452146,0.114120525381,0.126096342048,1.13144191133
17,796.875000,0.0890862965249,0.0855737611538,0.123528283508,0.765290177657
18,843.750000,0.0794400812681,0.0413407582045,0.0895532512017,0.479835487807
19,890.625000,0.0761936195298,0.0165207787004,0.0779641185798,0.213521088681
20,937.500000,0.061184803758,-0.0171099841601,0.0635321317828,-0.27267887067
21,984.375000,0.030148668542,-0.0239284432079,0.0384904223049,-0.670876361625
22,1031.250000,0.0179897514234,-0.0228944112163,0.0291167515567,-0.904792374455
23,1078.125000,0.00511053251512,-0.0287051769014,0.0291565554126,-1.39460715634
24,1125.000000,0.009912672423,-0.0374668164776,0.0387559467893,-1.31215050833
25,1171.875000,0.0215426947108,-0.0368620631874,0.0426954259592,-1.04191618124
26,1218.750000,0.0265366454235,-0.0616702654018,0.0671372861014,-1.16444606483
27,1265.625000,0.0100578353712,-0.0700746776379,0.0707927997638,-1.42823969823
28,1312.500000,-0.00114061719503,-0.0516466939366,0.0516592876661,-1.59287773643
29,1359.375000,-0.00220747735735,-0.0463819202164,0.0464344212761,-1.61835392812
30,1406.250000,0.0109718396883,-0.032757020233,0.0345456747031,-1.24759488891
31,1453.125000,0.012621320545,-0.0328088414951,0.0351527781626,-1.20355517648
32,1500.000000,0.0204171052003,-0.0398379778872,0.0447651948158,-1.09719598372
33,1546.875000,0.0169876131822,-0.0313477143074,0.0356547078789,-1.07418611618
34,1593.750000,0.0307914428881,-0.0357818504489,0.0472065014239,-0.860219332493
35,1640.625000,0.0359740599575,-0.0386979659659,0.0528362144719,-0.821860261986
36,1687.500000,0.0422259814029,-0.0398035949078,0.0580289554707,-0.755876095658
37,1734.375000,0.0351059792387,-0.0437407996424,0.0560864273391,-0.894477403218
38,1781.250000,0.0351203647814,-0.0247653444983,0.0429739724775,-0.614178154154
39,1828.125000,0.0468687136988,-0.0256886704629,0.0534470215628,-0.501382134102
40,1875.000000,0.0407481403394,-0.0344163696696,0.0533375800197,-0.701357743452
41,1921.875000,0.0461696700768,-0.0248033294683,0.0524103385575,-0.492979389976
42,1968.750000,0.0403376380236,-0.0285347391921,0.0494100838097,-0.615673410359
43,2015.625000,0.0329407094066,-0.0281675469661,0.0433416778435,-0.707446494941
44,2062.500000,0.0300812419575,-0.022317203245,0.0374558230237,-0.638295417302
45,2109.375000,0.0245753827636,-0.0263787876727,0.036052598756,-0.820776081476
46,2156.250000,0.0257368027581,-0.0265711118985,0.0369919856689,-0.801346770925
47,2203.125000,0.0193421725745,-0.0372221489522,0.0419476818492,-1.09155928645
48,2250.000000,0.0103881434908,-0.0367142672253,0.0381556148303,-1.29505818518
49,2296.875000,0.00478657882818,-0.0298642017182,0.0302453613161,-1.41186987498
50,2343.750000,0.0107850397675,-0.0156094240011,0.0189729070106,-0.966182697341
51,2390.625000,0.0317114556987,-0.0167973817221,0.0358854908738,-0.487119997198
52,2437.500000,0.0288940651437,-0.0197050470764,0.0349736455179,-0.598526339434
53,2484.375000,0.0296853913593,-0.0299023376524,0.0421351665148,-0.789038935383
54,2531.250000,0.0250124357688,-0.0271065912564,0.0368834547274,-0.825556810364
55,2578.125000,0.0252991117777,-0.0134126207945,0.0286346547616,-0.487484831586
56,2625.000000,0.0251064821679,-0.0137247680012,0.0286130163305,-0.500277088164
57,2671.875000,0.0296080045803,-0.00106575659017,0.0296271796217,-0.0359800219429
58,2718.750000,0.0319942424735,-0.00233737179878,0.0320795083874,-0.072926456718
59,2765.625000,0.0511434801109,0.00297083413265,0.0512296926918,0.0580230253563
60,2812.500000,0.0691741997262,0.0123676243418,0.0702711038736,0.176920233271
61,2859.375000,0.0817669624987,-0.0128747773081,0.0827743682972,-0.156174719561
62,2906.250000,0.0580787110492,-0.0241046459829,0.0628821964875,-0.393399257209
63,2953.125000,0.0413260124023,-0.0195874780939,0.0457330143239,-0.442611328059
64,3000.000000,0.029666844313,-0.0128539803712,0.0323318181189,-0.408860941616
65,3046.875000,0.0246957896859,-0.000189776766398,0.0246965188525,-0.00768442853334
66,3093.750000,0.0246304370707,0.00214710593736,0.0247238446484,0.086953061254
67,3140.625000,0.0232426874311,0.00838085435772,0.0247075138123,0.346069174893
68,3187.500000,0.0208595468818,0.00963534257706,0.0229773915555,0.432718342453
69,3234.375000,0.0185805238471,0.00977565171115,0.0209952192847,0.484327401097
70,3281.250000,0.0177480095601,0.0143237513501,0.0228070536476,0.679032478049
71,3328.125000,0.0150089236473,0.0180189353385,0.0234510089289,0.876282636782
72,3375.000000,0.0249346305936,0.0291122190514,0.0383308896445,0.8625404639
73,3421.875000,0.0234895229704,0.0359578281429,0.0429502397447,0.992138389748
74,3468.750000,0.0386836284437,0.0389895461967,0.0549236544869,0.789336668198
75,3515.625000,0.0532222354962,0.0315310623434,0.0618612499366,0.534843260775
76,3562.500000,0.0493764718573,0.0241673206402,0.05497358784,0.455172150245
77,3609.375000,0.0595468281108,0.0289833235395,0.0662258090283,0.452976665712
78,3656.250000,0.0621486427697,0.0153245120678,0.0640101122342,0.241755737587
79,3703.125000,0.0678294048285,0.00904971121158,0.0684304422929,0.132635409766
80,3750.000000,0.0617744838525,-0.00181473474096,0.0618011336257,-0.0293683226886
81,3796.875000,0.0501431200257,-0.0117189501088,0.05149433248,-0.2295891505
82,3843.750000,0.0403351346675,-0.00546085106977,0.0407031200653,-0.134568737596
83,3890.625000,0.0413998007653,-0.000265270570314,0.0414006506215,-0.00640744484616
84,3937.500000,0.0345111594859,-0.000935296494543,0.0345238310243,-0.0270946448642
85,3984.375000,0.03424634665,0.0133003370173,0.0367384161832,0.370442601291
86,4031.250000,0.036950797079,0.0154307505481,0.0400433448559,0.395588373521
87,4078.125000,0.0334195423295,0.0144323660646,0.0364027334102,0.407661770457
88,4125.000000,0.0397691789521,0.0205266796838,0.0447541302381,0.476480362108
89,4171.875000,0.0274401615859,0.00941544929447,0.029010569682,0.330538447087
90,4218.750000,0.0204046163724,0.0144229527632,0.0249873955368,0.61530685603
91,4265.625000,0.0217024328169,0.00842452789592,0.0232802117782,0.370278481724
92,4312.500000,0.0165865454671,0.0125913814172,0.0208244177956,0.649320168827
93,4359.375000,0.021470675432,0.013925042183,0.0255909496366,0.575362938141
94,4406.250000,0.0235913969362,0.00962763106943,0.0254802921767,0.387468919154
95,4453.125000,0.0197480129915,0.01428679554,0.0243740957559,0.626294642503
96,4500.000000,0.0229765141677,0.0111439567108,0.0255364048855,0.451587999143
97,4546.875000,0.0170266965313,0.00804043612403,0.0188296842202,0.441181960822
98,4593.750000,0.0223885720903,0.0130785097691,0.0259286632518,0.528691063925
99,4640.625000,0.0195642906194,0.00326452100071,0.0198347816929,0.16533794666
100,4687.500000,0.0169617182941,0.00425953884206,0.0174883835341,0.24603872205
101,4734.375000,0.0161103695334,-0.00147859462977,0.0161780792612,-0.0915226610623
102,4781.250000,0.0126770988355,0.00162656207719,0.0127810226146,0.127609902201
103,4828.125000,0.010938888989,-0.00259642361029,0.0112428069394,-0.233044581986
104,4875.000000,0.00791379391432,-0.000144083703456,0.00791510544667,-0.0182046421458
105,4921.875000,0.0118047099605,0.00556509751896,0.0130507274758,0.44053172444
106,4968.750000,0.00440143542707,0.00169470964966,0.0047164260426,0.367539909332
107,5015.625000,0.0024370627919,0.00255998899693,0.00353451817311,0.809992949095
108,5062.500000,0.00588289041166,0.00203097179522,0.00622360394214,0.332422343544
109,5109.375000,-0.000872079756974,0.00759471437797,0.0076446196495,1.68512280179
110,5156.250000,0.00109919377164,0.00128934220459,0.00169429344216,0.864839404052
111,5203.125000,-0.00810574056418,0.0054397563098,0.00976186349033,2.55052762206
112,5250.000000,-0.0116019833801,0.0088642859187,0.014600739132,2.4891714187
113,5296.875000,-0.0170008103143,0.0182046782571,0.0249085901204,2.32201234755
114,5343.750000,-0.0118683189094,0.0261205343414,0.0286904044589,1.99727623266
115,5390.625000,-0.00726627762934,0.0206021366621,0.0218459796217,1.90987032052
116,5437.500000,-0.00225755555553,0.0308705996638,0.0309530366958,1.64379600993
117,5484.375000,0.00102096860549,0.0337882309334,0.0338036525616,1.54058882507
118,5531.250000,0.00943269364996,0.0260493528975,0.0277045934074,1.22337535941
119,5578.125000,0.0228352057846,0.0271753072803,0.0354956891609,0.871965056776
120,5625.000000,0.0232037517105,0.0221268874866,0.0320626456065,0.761646860962
121,5671.875000,0.0154559505661,0.0188344584403,0.0243643845119,0.883607516726
122,5718.750000,0.0161763848899,0.00680591895946,0.0175498137024,0.398249866199
123,5765.625000,0.0253457066794,0.0132020364386,0.0285779392749,0.480210643512
124,5812.500000,0.0253115528072,0.00525970030548,0.0258522562422,0.204882657887
125,5859.375000,0.0379949220108,-0.0128675284934,0.0401146779638,-0.326540840798
126,5906.250000,0.0328129973984,-0.0275010193771,0.0428135360026,-0.697552792953
127,5953.125000,-0.00173608536142,-0.0324768674929,0.0325232365323,-1.62420155563
128,6000.000000,-0.00932788141661,-0.0210788357156,0.0230505246545,-1.98741547569
129,6046.875000,-0.0112386447127,-0.00420068664672,0.0119980374763,-2.78389933782
130,6093.750000,-0.00442678493887,0.00211670054396,0.00490681628836,2.69557121205
131,6140.625000,0.00424182000581,-0.00769803362209,0.00878935484598,-1.06716540928
132,6187.500000,0.000990100837513,-0.000514953867144,0.00111600947744,-0.479599929169
133,6234.375000,0.00332176819311,-0.00302901163833,0.00449544830178,-0.739333041127
134,6281.250000,0.0162215154545,-0.00449930606054,0.0168339335471,-0.270565055875
135,6328.125000,0.00862603635955,-0.00696556897746,0.0110872744377,-0.679300542163
136,6375.000000,0.00616714748152,-0.0250954386997,0.0258421119801,-1.32982377242
137,6421.875000,0.00979621609141,-0.0120488255656,0.0155286846584,-0.888152640924
138,6468.750000,0.00283040033101,-0.0149846211588,0.0152495913816,-1.38410880729
139,6515.625000,-0.00647617762903,-0.0161000921993,0.0173537847604,-1.95323633768
140,6562.500000,-0.00145906202497,-0.0182309635776,0.0182892562713,-1.65065819329
141,6609.375000,-0.00697032519312,-0.0149046782325,0.0164540228064,-2.00823905505
142,6656.250000,-0.00390659224517,-0.0124911602665,0.0130878014874,-1.87390761499
143,6703.125000,-0.00672287945925,-0.0111003159047,0.0129774466444,-2.11535811445
144,6750.000000,-0.00073850139227,-0.00927751162575,0.00930685802365,-1.65023007181
145,6796.875000,-0.00128518945479,-0.00721583375531,0.00732939074678,-1.74705492933
146,6843.750000,0.00340590095094,-0.00522646331922,0.0062382754119,-0.993251826642
147,6890.625000,-0.000132445893375,-0.0053292887978,0.00533093434635,-1.59564366391
148,6937.500000,-0.00253115353617,-0.00652433566145,0.0069981207511,-1.94087680543
149,6984.375000,0.00338459874263,-0.00501021774233,0.00604630386883,-0.976676292381
150,7031.250000,0.00293204912384,-0.00254353535903,0.00388155692825,-0.714563032591
