bin,frequency_hz,real,imag,abs,phase
8,375.000000,0.180045138828,-0.496599216444,0.528230095497,-1.22297964223
9,421.875000,-0.579537741273,-0.187693371137,0.609173862808,-2.82838550941
10,468.750000,-0.276292875578,0.447733052365,0.526120365767,2.12368940123
11,515.625000,0.0232917281788,0.273930245768,0.274918686429,1.48597239943
12,562.500000,0.101146058201,0.361489339548,0.375373237854,1.29796965298
13,609.375000,0.250801141989,0.16291447412,0.299069120273,0.576077296579
14,656.250000,0.284366638894,0.197697944435,0.346336343097,0.607512052146
15,703.125000,0.318820424256,-0.00181498147627,0.318825590379,-0.00569274027612
16,750.000000,0.236986351046,-0.109522549008,0.261070334054,-0.432909394567
17,796.875000,0.138913885173,-0.107946985514,0.175925038512,-0.6606072814
18,843.750000,0.0885996029826,-0.0613687188007,0.107777591808,-0.605777580956
19,890.625000,0.0401534529704,-0.0468185309838,0.0616788021036,-0.861883437661
20,937.500000,0.0556983495831,-0.0672038501283,0.0872849564264,-0.878741208749
21,984.375000,-0.0237486368233,-0.0741510181075,0.0778612306436,-1.88074772252
22,1031.250000,-0.00135536992953,-0.129419329956,0.129426426953,-1.58126864482
23,1078.125000,-0.00428485391528,-0.0823439189513,0.0824553270646,-1.62278550583
24,1125.000000,-0.118200523164,-0.169387667329,0.206551556564,-2.1800514365
25,1171.875000,-0.230927844937,-0.117883797181,0.259276414672,-2.6695970933
26,1218.750000,-0.227183757069,-0.0574080493608,0.234324867667,-2.89407975388
27,1265.625000,-0.243451433209,0.0568991474112,0.250012226317,2.91199530233
28,1312.500000,-0.155478722117,0.170747344271,0.230929185264,2.3094248135
29,1359.375000,-0.0838114081872,0.141305710846,0.164291375489,2.10614250897
30,1406.250000,-0.0358648998434,0.137102371495,0.141715741223,1.82665511265
31,1453.125000,-0.0347756312392,0.129244278019,0.13384105472,1.83364023523
32,1500.000000,-0.0247897009377,0.0761934284177,0.0801247016009,1.88534676208
