bin,frequency_hz,real,imag,abs,phase
8,375.000000,0.226244118718,0.0756163888282,0.238546095155,0.322552633861
9,421.875000,0.122531073256,-0.215742791353,0.248110491383,-1.05427660756
10,468.750000,-0.149449701606,-0.244937757447,0.286931556879,-2.11864841826
11,515.625000,-0.132957615331,-0.0832022973745,0.156844986413,-2.582432199
12,562.500000,-0.190839223311,-0.102131037439,0.216449435117,-2.65020807458
13,609.375000,-0.17817972208,-0.0228126647402,0.179634158871,-3.01425365649
14,656.250000,-0.203092279417,-0.0332553528008,0.205796968997,-2.97928798267
15,703.125000,-0.215599111573,0.0588494047404,0.223486530577,2.87512628429
16,750.000000,-0.138379619038,0.0917387744816,0.166026870441,2.55616751233
17,796.875000,-0.0914275453615,0.06688659554,0.113282005251,2.50998471833
18,843.750000,-0.0700213888716,0.0552479261195,0.0891926467822,2.47358586625
19,890.625000,-0.0139652670854,0.0331108174863,0.0359354270794,1.96993097243
20,937.500000,-0.053384430022,0.00270172306809,0.0534527518124,3.09102697355
21,984.375000,-0.016032570939,0.0383500466481,0.0415664457084,1.96677297777
22,1031.250000,-0.0325003906084,0.0326886467342,0.0460958025747,2.35330664877
23,1078.125000,-0.0433602738885,0.0349291067237,0.0556790431689,2.46347338497
24,1125.000000,-0.0729640742807,0.0577343600104,0.0930430677775,2.47219694844
25,1171.875000,-0.0312130502596,0.0651170651965,0.0722114027444,2.0177777078
26,1218.750000,-0.0432941533913,0.0625439552103,0.0760666158786,2.17628145628
27,1265.625000,-0.0290848025197,0.0957695167835,0.100088591171,1.86564032903
28,1312.500000,-0.00657107196664,0.0875261247211,0.0877724415491,1.64573130165
29,1359.375000,0.0133924211493,0.0622511899838,0.0636754866384,1.35889096011
30,1406.250000,0.00725198826368,0.0454841609476,0.0460586607586,1.41268727042
31,1453.125000,0.00764072439845,0.0356818366535,0.0364907404186,1.35984724814
32,1500.000000,-0.00357121125756,0.0140221230398,0.0144697437568,1.82017863723
33,1546.875000,-0.0231885520911,-0.00384169554475,0.0235046287514,-2.97741184264
34,1593.750000,-0.03569538448,-0.0203952649477,0.0411111579192,-2.62249083966
35,1640.625000,-0.0444916805621,-0.0207562218407,0.0490951156873,-2.70508662102
36,1687.500000,-0.0738288610235,-0.0236891126705,0.0775362804057,-2.83110506811
37,1734.375000,-0.0679401677066,-0.0206491435961,0.0710088270517,-2.84653307433
38,1781.250000,-0.0554058711357,-0.0289625825017,0.0625191310038,-2.65992298571
39,1828.125000,-0.0199978811991,-0.0343685612757,0.0397632148677,-2.09777492866
40,1875.000000,-0.0392178256033,-0.0378118249838,0.0544772608862,-2.37444518324
41,1921.875000,-0.0379557743834,-0.0357618552259,0.0521493154149,-2.38594682728
42,1968.750000,-0.0334427904207,-0.0290933228698,0.0443265345671,-2.42563395904
43,2015.625000,-0.0181135369283,-0.0232462155386,0.0294700993707,-2.23272733495
44,2062.500000,-0.0203183029963,-0.00979749434348,0.0225571348371,-2.69228583224
45,2109.375000,-0.0155492968778,-0.00701909788806,0.0170601397578,-2.71756733496
46,2156.250000,-0.00210438657566,-0.00130262158104,0.00247492744201,-2.58731742313
47,2203.125000,0.00519335002649,-0.00811651004361,0.00963579886598,-1.00158946213
48,2250.000000,0.00288475593105,-0.00276571494627,0.00399637284869,-0.764333834344
49,2296.875000,0.00827943634546,0.000123851100485,0.00828036263056,0.0149577650679
50,2343.750000,0.0114836692995,-0.00203392705568,0.0116623976887,-0.175296823654
51,2390.625000,0.00960948486777,0.0002721436939,0.00961333769375,0.0283127530638
52,2437.500000,0.0125348600475,0.00636427670968,0.0140579776088,0.469809438234
53,2484.375000,0.0140679053636,-0.00477367652122,0.0148557715669,-0.327138715306
54,2531.250000,0.0111132113449,-0.0102838865752,0.0151413932479,-0.746658804214
55,2578.125000,0.00119761993689,0.00499089320833,0.00513257328542,1.33528818223
56,2625.000000,-0.00195528229727,0.00915554927272,0.00936200893757,1.78119812618
57,2671.875000,-0.00830355095867,0.0119111942527,0.014519831509,2.17958787488
58,2718.750000,-0.00845437172626,0.0192294485623,0.0210059061527,1.98501623749
59,2765.625000,-0.00775912446339,0.0310652937874,0.0320196266458,1.81555687245
60,2812.500000,0.000830176337486,0.0312101609025,0.0312212001101,1.54420304425
61,2859.375000,0.00397609173709,0.0221744494589,0.022528104987,1.39337219877
62,2906.250000,0.00593959593754,0.00479140552273,0.00763127556733,0.678806192471
63,2953.125000,-0.0117570277266,-0.00900880050876,0.0148116909086,-2.48777358153
64,3000.000000,-0.0211390795152,-0.006397718201,0.0220860019227,-2.8477074925
65,3046.875000,-0.0184220064205,-0.00333570031603,0.0187215709051,-2.9624620377
66,3093.750000,-0.0195061132065,-0.00836046625385,0.0212222960211,-2.73667040059
67,3140.625000,-0.009001048085,-0.0159501493885,0.0183146425612,-2.08457010656
68,3187.500000,-0.0157094841725,-0.00964367354953,0.0184333483799,-2.59103272091
69,3234.375000,-0.00594257359271,-0.0167974096272,0.0178176078947,-1.91083391252
70,3281.250000,-0.00443004781984,-0.0152371892523,0.0158681208716,-1.85373544597
71,3328.125000,0.00505265741709,-0.0213433632621,0.0219332738622,-1.33834362929
72,3375.000000,0.00509507659235,-0.0278489109483,0.0283111576324,-1.3898433341
73,3421.875000,-0.0068551593385,-0.0431146423988,0.0436562206189,-1.72847484169
74,3468.750000,-0.0170131780779,-0.0389908516075,0.042540977156,-1.98223077296
75,3515.625000,-0.0254512902339,-0.0337193074436,0.0422464184168,-2.21736155151
76,3562.500000,-0.0115895757759,-0.00820648269506,0.0142008670471,-2.52545662101
77,3609.375000,-0.011386697597,-0.0143727847718,0.0183366797503,-2.2407877288
78,3656.250000,-0.0073903445454,-0.0118796072402,0.0139907919962,-2.12731001142
79,3703.125000,-0.00204471975888,-0.0121863026218,0.0123566520742,-1.73703618479
80,3750.000000,-0.0154091241152,-0.0175794326608,0.0233768594699,-2.29049942431
81,3796.875000,-0.0204697369381,-0.00398032954973,0.0208531329454,-2.94953979148
82,3843.750000,-0.0188741906241,-0.00279000558521,0.0190792872739,-2.99483423575
