bin,freq_hz,abs_y,abs_y_theory,real_h,imag_h,abs_h,phase_h
1,46.875,9.928878905236843,7.599768066406252,-0.04072952020433095,-0.0033276419007569648,0.04086522992342851,-3.0600727305151034
2,93.75,6.940104382308612,7.599768066406252,-0.027038525663330447,-0.0021158627442485842,0.027121186279347707,-3.0634981727929818
3,140.625,3.6385585068036113,7.599768066406252,-0.0165985628601927,-0.029307818828410097,0.033681753717742756,-2.086107662595917
4,187.5,3.193209925867,7.599768066406252,-0.0464751126102134,-0.011208642360358251,0.0478076328183527,-2.904936819539112
5,234.375,3.0688739868694106,7.599768066406252,0.04985610042773729,-0.236059199210193,0.24126660830213992,-1.3626534829919732
6,281.25,2.5467115363067427,7.599768066406252,-0.1530403644009969,0.14567961308283572,0.211291038153431,2.380830479259731
7,328.125,2.032954586208492,7.599768066406252,-0.104868307044754,-0.0003835598070514351,0.10486900848467286,-3.137935132003851
8,375.0,2.0155740434409397,7.599768066406252,0.050571291579337804,0.13095297567391945,0.14037855024844978,1.20226107263071
9,421.875,1.970080171868151,7.599768066406252,0.0281413198702395,-0.11888217849119873,0.12216753352201382,-1.3383587469389684
10,468.75,2.5529618088397688,7.599768066406252,0.015128043706459739,-0.23436804548435644,0.23485578223782766,-1.5063375144216329
11,515.625,1.9930369515926667,7.599768066406252,-0.22358478713196817,-0.05434113019659743,0.2300937101875909,-2.9031706538075213
12,562.5,4.7320330118835665,7.599768066406252,-0.3016240794394247,0.46098100575546685,0.5508907087299642,2.1501948484817097
13,609.375,2.188237879999558,7.599768066406252,0.04028592825540622,-0.13156467052295454,0.13759439866947099,-1.2736554686014134
14,656.25,4.604972809626602,7.599768066406252,0.23240735904821327,0.529966141749542,0.5786858318126173,1.157519619416612
15,703.125,8.731131428516225,7.599768066406252,-0.7675601690102803,-0.7462813466254709,1.070553343543523,-2.370249740319745
16,750.0,4.685647339816184,7.599768066406252,0.2737631408348631,0.5254385766783685,0.5924794976550317,1.0904757701639738
17,796.875,4.808413595398875,7.599768066406252,0.2310374701108343,-0.5177526813851373,0.5669622136233721,-1.1510808416651521
18,843.75,5.377627535157978,7.599768066406252,0.5879832999597919,-0.35634796920589396,0.6875378070977416,-0.5448570171256911
19,890.625,4.75145509979088,7.599768066406252,0.36990050009584663,-0.481021763180911,0.606801711125496,-0.9152525380567855
20,937.5,3.462638371587426,7.599768066406252,0.10020272347136311,-0.4322181013372126,0.4436812740184371,-1.342987062965784
21,984.375,3.846959642748788,7.599768066406252,0.05235274606334635,-0.48936435128898464,0.4921567619497491,-1.4642205590802588
22,1031.25,1.7905221002301108,7.599768066406252,0.01808329264567237,-0.12575025684436172,0.12704382145280413,-1.4279722334436857
23,1078.125,4.922226336351677,7.599768066406252,-0.3919640826355599,-0.5005432915176667,0.6357510745249872,-2.2351330269418814
24,1125.0,5.913398491540877,7.599768066406252,-0.6844157567704384,0.2133166843868838,0.7168883706362277,2.839457694122744
25,1171.875,6.6736338737043965,7.599768066406252,-0.7025627393803875,-0.47788960422030097,0.8496898708278864,-2.544272990646842
26,1218.75,7.1255030027905235,7.599768066406252,-0.7410922440492995,0.545812977573982,0.9203963932340253,2.506788955339024
27,1265.625,7.684618061505105,7.599768066406252,-0.8930615945342436,0.43430704084950134,0.9930667738694595,2.6889548591230494
28,1312.5,8.720791631965568,7.599768066406252,-0.20500278732943805,1.1114855750408026,1.1302328637659684,1.753186908072152
29,1359.375,6.583222799700075,7.599768066406252,0.1003214577135069,0.8499823483850608,0.8558822275546711,1.4533121586518112
30,1406.25,6.2673745011508695,7.599768066406252,0.44220576104736753,0.6850687199157234,0.8153925963058835,0.9975973413525661
31,1453.125,6.1744965196257064,7.599768066406252,0.6632943898148109,0.44960370959529794,0.8013132616159896,0.5956942664551973
32,1500.0,4.893931337190848,7.599768066406252,0.49497128900607096,0.39350481669043036,0.6323310981589476,0.671687987515118
33,1546.875,1.9627336431319014,7.599768066406252,-0.1623264343274912,-0.006452573403333129,0.16245463054343115,-3.101862969044554
34,1593.75,4.426821025671474,7.599768066406252,0.5463671785264119,0.15636159854340084,0.5683010146656081,0.27873396047807375
35,1640.625,3.4731944854434795,7.599768066406252,0.36619815686126733,-0.2628563649893936,0.4507710712812288,-0.622571436262003
36,1687.5,3.965911541795839,7.599768066406252,0.3840459423871491,-0.32932437510777435,0.5059108912685707,-0.708839589940668
37,1734.375,4.199440592210877,7.599768066406252,-0.1751786010056474,-0.5056165971536801,0.5351034344568932,-1.9043187201477925
38,1781.25,2.050768879180865,7.599768066406252,-0.24819302296741613,0.004611566480575825,0.24823586202462594,3.123014226846336
39,1828.125,3.134258461708904,7.599768066406252,-0.17747013165085163,0.3585140237402832,0.40003493953231,2.0304486885082897
40,1875.0,2.082995647233164,7.599768066406252,0.14350199362968044,0.2133505600344447,0.25712114584900253,0.9786895042772332
41,1921.875,2.344066897726544,7.599768066406252,0.11137290143277045,0.2741914220113629,0.29594739241656937,1.1849680148370543
42,1968.75,3.7265876167475196,7.599768066406252,0.4776542392736352,0.03931049906674224,0.47926911817156703,0.08211401258071886
43,2015.625,2.9369790788430765,7.599768066406252,0.35916036262803586,-0.12001239747591375,0.3786807912094551,-0.32248277520094865
44,2062.5,2.6932412598841964,7.599768066406252,0.13544845893963062,-0.31897870510284354,0.3465453784689786,-1.1692377030000443
45,2109.375,2.521270036497493,7.599768066406252,-0.00944607534136667,-0.3248690880569746,0.32500638872847576,-1.5998646961419627
46,2156.25,1.8832306626190087,7.599768066406252,-0.14457083549716027,-0.18783509167607415,0.2370290027429263,-2.2267671753928613
47,2203.125,2.515577552994419,7.599768066406252,-0.2863948353007866,-0.12962595488067322,0.3143642630225182,-2.7165680855492913
48,2250.0,1.5592796898112276,7.599768066406252,-0.1585641891445177,-0.037220342408302784,0.16287404940029485,-2.9110331693986953
49,2296.875,1.3879163314024243,7.599768066406252,0.0913363602051552,0.09354504409120715,0.13074022322740522,0.7973440853251259
50,2343.75,2.5271378169794714,7.599768066406252,0.2521247175765007,-0.13972860913997487,0.288255021509118,-0.5060653686786752
51,2390.625,1.7299937885239054,7.599768066406252,-0.06525721760885193,-0.15676667146064538,0.16980663629817,-1.9652491676021642
52,2437.5,1.108515522199357,7.599768066406252,-0.06088403681713099,0.030732187333126243,0.06820068384868386,2.674139575378434
